Exp,HMI,SUS_score_mean,UMUX_score_mean,Trust_mean,Acceptance_mean,UEQ_Attractiveness_mean,UEQ_Perspicuity_mean,UEQ_Efficiency_mean,UEQ_Dependability_mean,UEQ_Stimulation_mean,UEQ_Novelty_mean,SUS_score_sd,UMUX_score_sd,Trust_sd,Acceptance_sd,UEQ_Attractiveness_sd,UEQ_Perspicuity_sd,UEQ_Efficiency_sd,UEQ_Dependability_sd,UEQ_Stimulation_sd,UEQ_Novelty_sd,SUS_score_min,UMUX_score_min,Trust_min,Acceptance_min,UEQ_Attractiveness_min,UEQ_Perspicuity_min,UEQ_Efficiency_min,UEQ_Dependability_min,UEQ_Stimulation_min,UEQ_Novelty_min,SUS_score_max,UMUX_score_max,Trust_max,Acceptance_max,UEQ_Attractiveness_max,UEQ_Perspicuity_max,UEQ_Efficiency_max,UEQ_Dependability_max,UEQ_Stimulation_max,UEQ_Novelty_max,SUS_score_median,UMUX_score_median,Trust_median,Acceptance_median,UEQ_Attractiveness_median,UEQ_Perspicuity_median,UEQ_Efficiency_median,UEQ_Dependability_median,UEQ_Stimulation_median,UEQ_Novelty_median
1,HC,81.4423076923077,83.49358974358974,3.730769230769231,3.9615384615384617,1.596153846153846,1.7115384615384615,1.3461538461538463,1.6057692307692308,1.2115384615384615,1.0961538461538463,16.15817249757962,9.963877064368376,0.827414880586145,0.9583639905910167,0.8248542994884704,0.8267173268182653,0.8546254240219018,0.6677315213582362,0.9399263473600143,0.891843380524078,40,62.5,2,2,-0.16666666666666666,-0.25,-0.5,0.25,-1.25,-0.25,97.5,100,5,5,3,2.75,3,2.75,3,3,88.75,85.41666666666667,4,4,1.6666666666666667,2,1.25,1.5,1,1
1,LC,77.01923076923077,68.10897435897436,3.3461538461538463,3.6538461538461537,1.141025641025641,1.3461538461538463,1.4711538461538463,0.9807692307692307,0.8173076923076923,0.8269230769230769,12.349478344635266,18.706145294925726,1.0933364602832083,1.1980753796755093,1.0910670696283296,1.3211300524114253,1.0058004848798867,1.0604788468495656,1.0967171292263387,1.2119596337527723,52.5,20.833333333333336,1,1,-1.6666666666666667,-1.75,-1.5,-1.25,-1.75,-2.25,100,95.83333333333334,5,5,2.8333333333333335,3,3,3,3,2.5,77.5,66.66666666666666,4,4,1.5,1.625,1.5,1.25,0.75,1
2,HC,79.0909090909091,81.43939393939394,3.5454545454545454,4,1.6161616161616161,1.553030303030303,1.628787878787879,1.4090909090909092,1.2272727272727273,0.8106060606060606,14.372529431965944,13.862032114500181,0.9711754826918862,0.9013878188659973,1.0337069624294324,1.309158806372638,0.9166881884525866,1.0803973911146179,1.0650037345218346,1.202260733456816,42.5,41.66666666666667,1,2,-1.5,-1.75,-1.75,-2,-1.75,-1.75,97.5,95.83333333333334,5,5,3,3,3,3,3,2.75,80,83.33333333333334,4,4,1.6666666666666667,1.75,1.75,1.5,1.5,1
2,LC,78.75,77.82738095238095,3.5357142857142856,4.142857142857143,1.7916666666666667,1.5446428571428572,1.5982142857142858,1.1607142857142858,1.2946428571428572,0.9464285714285714,16.036705582067842,15.674707822301533,1.3466595945123117,1.2084359562332876,0.9022434316062063,1.1844938976840673,0.8060514346764203,1.2420381355492793,0.9330693362464476,1.293425581720779,47.5,50,1,1,0,-0.75,0,-1.25,-1,-2.25,100,100,5,5,3,3,3,3,3,3,77.5,79.16666666666666,4,5,1.9166666666666665,1.75,1.75,1.375,1.125,0.875
3,HC,86.19047619047619,86.30952380952381,3.857142857142857,4.285714285714286,1.880952380952381,2.0714285714285716,2.011904761904762,1.5714285714285714,1.7380952380952381,1.4047619047619047,11.197629425994805,10.79664115905777,0.9102589898327995,0.8451542547285166,0.5942849511594612,0.7670677004951109,0.5029673851018478,0.8221270322418898,0.6683757853754058,0.8347012582212815,47.5,54.166666666666664,2,2,0.8333333333333334,-0.25,1,0,0.25,-0.25,100,100,5,5,3,3,3,3,3,2.75,90,87.5,4,4,1.8333333333333333,2.25,2,1.75,2,1.25
3,LC,81.30952380952381,82.34126984126983,3.619047619047619,3.9523809523809526,1.7301587301587302,1.9761904761904763,1.8214285714285714,1.4285714285714286,1.3333333333333333,1.119047619047619,18.124897372451652,15.360526266888355,1.2440333788202982,1.2440333788202982,1.0781622616442583,1.20650518519597,0.8334523724501941,1.0872639316848771,0.9821320345724058,1.2212162165722529,17.5,45.83333333333333,1,1,-1.3333333333333333,-1.25,0.5,-1,-0.25,-1.5,100,100,5,5,3,3,3,3,3,3,85,91.66666666666666,4,4,1.8333333333333333,2.5,2,1.75,1,1
