"Exp","HMI","TC01_ER_mean","TC02_ER_mean","TC03_ER_mean","TC04_ER_mean","TC05_ER_mean","TC06_ER_mean","TC07_ER_mean","TC08_ER_mean","TC09_ER_mean","TC10_ER_mean","TC11_ER_mean","TC12_ER_mean","ER_overall_mean","TC01_ER_sd","TC02_ER_sd","TC03_ER_sd","TC04_ER_sd","TC05_ER_sd","TC06_ER_sd","TC07_ER_sd","TC08_ER_sd","TC09_ER_sd","TC10_ER_sd","TC11_ER_sd","TC12_ER_sd","ER_overall_sd","TC01_ER_min","TC02_ER_min","TC03_ER_min","TC04_ER_min","TC05_ER_min","TC06_ER_min","TC07_ER_min","TC08_ER_min","TC09_ER_min","TC10_ER_min","TC11_ER_min","TC12_ER_min","ER_overall_min","TC01_ER_max","TC02_ER_max","TC03_ER_max","TC04_ER_max","TC05_ER_max","TC06_ER_max","TC07_ER_max","TC08_ER_max","TC09_ER_max","TC10_ER_max","TC11_ER_max","TC12_ER_max","ER_overall_max","TC01_ER_median","TC02_ER_median","TC03_ER_median","TC04_ER_median","TC05_ER_median","TC06_ER_median","TC07_ER_median","TC08_ER_median","TC09_ER_median","TC10_ER_median","TC11_ER_median","TC12_ER_median","ER_overall_median"
"1","HC",1,1.5,3.6538461538461537,1.8461538461538463,1.7307692307692308,1.5769230769230769,1.1153846153846154,1.1923076923076923,1.3461538461538463,2.769230769230769,1.4230769230769231,1.9615384615384615,1.7596153846153846,0,1.3038404810405297,1.4406195248519351,1.2228591968761633,1.0414486951431572,0.986836437230686,0.43145549730400484,0.4914656259988704,0.6894814104706634,1.0318020084373671,0.6433087546786177,0.8236877675803729,0.5192553017313049,1,1,1,1,1,1,1,1,1,1,1,1,1.0833333333333333,1,5,5,5,5,4,3,3,4,5,3,4,3,1,1,4,1,1,1,1,1,1,2.5,1,2,1.6666666666666667
"1","LC",1.0384615384615385,1.6923076923076923,3.4615384615384617,1.6153846153846154,2,1.5769230769230769,1.2692307692307692,1.2692307692307692,1.3076923076923077,3.1538461538461537,1.4615384615384615,2.6538461538461537,1.875,0.19611613513818404,1.4076712903012767,1.5028178660308569,0.6972473349922867,0.9797958971132712,1.101746864686328,0.7243033788512826,0.533493565673837,0.5491251783869153,1.3767296813044365,0.9478721108153454,1.231009591914139,0.474488028182892,1,1,1,1,1,1,1,1,1,1,1,1,1.1666666666666667,2,5,5,4,4,4,4,3,3,5,5,5,2.9166666666666665,1,1,3.5,2,2,1,1,1,1,2.5,1,2,1.75
"2","HC",1.3636363636363635,1.4848484848484849,2.515151515151515,1.6666666666666667,1.7878787878787878,1.393939393939394,1.121212121212121,1.2121212121212122,1.2727272727272727,2.121212121212121,1.0909090909090908,1.2727272727272727,1.5252525252525253,0.9293203772845852,0.9394550322265337,1.2777228798044424,1.136515141415488,1.1661254155743648,0.7044232543095956,0.41514875026728054,0.6963106238227914,0.7190587281616534,0.8572330399888264,0.5222329678670935,0.51676440913191235,0.3735416367382683,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,4,3,3,4,4,4,4,3,2.4166666666666665,1,1,2,1,1,1,1,1,1,2,1,1,1.5
"2","LC",1.1785714285714286,2,3.142857142857143,2.2857142857142856,1.9285714285714286,2,1.75,1.75,1.5,3.107142857142857,1.5,2.75,2.074404761904762,0.6696362433535825,1.387777332977422,1.0079052613579393,1.4364860122855578,1.1841099620036992,1.3608276348795434,1.2056963563450391,1.2056963563450391,1.1055415967851334,1.3968028497458764,1.0715167512214394,1.3505828645714688,0.7406270580754116,1,1,1,1,1,1,1,1,1,1,1,1,1.25,4,5,4,4,4,5,4,4,4,5,5,5,3.9166666666666665,1,1,3.5,1.5,1,1,1,1,1,3,1,2,1.7916666666666665
"3","HC",1,1.5238095238095237,2.619047619047619,1.8571428571428572,2.1904761904761907,1.9523809523809523,1.2857142857142858,1.1904761904761905,1.2857142857142858,2.238095238095238,1.3333333333333333,1.619047619047619,1.6746031746031746,0,0.8135752957807666,1.5961262630566064,1.4589624493356326,1.3645163106041502,1.4309504001254019,0.6436503043467892,0.511766315719159,0.6436503043467892,1.5461164867099084,0.7958224257542215,1.1608699529314417,0.523015270852557,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,3,3,3,5,4,5,3,1,1,3,1,2,1,1,1,1,2,1,1,1.5
"3","LC",1,1.380952380952381,2.8095238095238093,1.8571428571428572,2.4761904761904763,1.9523809523809523,1.6666666666666667,1.7142857142857142,1.5238095238095237,3.7142857142857144,1.4761904761904763,2.6666666666666665,2.0198412698412698,0,0.6690433824641326,1.6315344807587615,1.3147514702678331,1.6618979396776332,1.3592715135759477,1.2382783747337807,1.4540583599999397,1.030487633067356,1.647508942095828,1.030487633067356,1.798147194568157,0.6830816416070111,1,1,1,1,1,1,1,1,1,1,1,1,1.0833333333333333,1,3,5,5,5,5,5,5,5,5,5,5,4,1,1,3,1,2,1,1,1,1,5,1,2,1.8333333333333333
