"Test","diff_means","TOST_t1","TOST_p1","TOST_t2","TOST_p2","TOST_df","alpha","low_eqbound","high_eqbound","low_eqbound_d","high_eqbound_d","LL_CI_TOST","UL_CI_TOST","LL_CI_TTest","UL_CI_TTest","NHST_t","NHST_p"
"LevelObserved_Rep_12",0.6746532156368215,5.173941187869078,8.215863313429127e-7,-0.286043739753904,0.387789514259179,80.5444965767898,0.05,-0.7536157269768123,0.7536157269768123,-0.5,0.5,0.21530720985346197,1.133999221420181,0.12535226151820977,1.2239541697554333,2.443948724057587,0.016712159234830493
"LevelObserved_Rep_23",-0.1416861826697886,2.1360748765807687,0.017847315110572703,-2.7955652744985993,0.003234204723391976,80.93998803727733,0.05,-1.0595230340177837,1.0595230340177837,-0.5,0.5,-0.8566363413999325,0.5732639760603553,-0.9966318479776319,0.7132594826380547,-0.32974519895891524,0.7424443628286637
"LevelObserved_Instr_12",0.6535308953341747,4.941942937764615,1.8030019966681728e-6,-0.4937238076985469,0.31135854475123215,89.0296832455697,0.05,-0.7986063750523859,0.7986063750523859,-0.5,0.5,0.16512597778960114,1.1419358128787485,0.06968106014948483,1.2373807305188647,2.224109565033034,0.02867051866870115
"LevelObserved_Instr_23",0.15690866510538548,2.820888197843931,0.0030115285994673532,-2.110186407740363,0.01896669562110915,80.86275204400923,0.05,-1.088682123320027,1.088682123320027,-0.5,0.5,-0.5778099867851205,0.8916273169958915,-0.7216794075963351,1.035496737807106,0.3553508950517841,0.7232519844295655
"BothAllow_Observed_12",1.923392181588902,7.172288863673728,2.6259689681682345e-10,1.6880317560956362,0.952139104575445,72.17974172444683,0.05,-1.190518683827679,1.190518683827679,-0.5,0.5,1.1999799303236744,2.6468044328541294,1.0579496575438312,2.7888347056339726,4.430160309884682,3.2887918714552275e-5
"BothAllow_Observed_23",0.08118657298985354,2.60448633826524,0.005424927951342769,-2.3608029482789323,0.010255600765898118,85.45861830998082,0.05,-1.6542564558889614,1.6542564558889614,-0.5,0.5,-1.026837588292457,1.189210734272164,-1.2435500278592744,1.4059231738389815,0.12184169499315363,0.9033104440987905
"EmailsAllow_Observed_12",0.75,6.219640495126447,1.4421853353023683e-8,0.7359103659031537,0.7679178765085972,72.35729630361931,0.05,-0.5912971781948367,0.5912971781948367,-0.5,0.5,0.39067839757420153,1.1093216024257986,0.32013568497467815,1.1798643150253219,3.4777754305148005,8.594600707013827e-4
"EmailsAllow_Observed_23",0.16666666666666607,2.8738696589971204,0.0026544078280875453,-1.9995416812955178,0.024637408510823106,72.94170955669003,0.05,-0.9289823088096462,0.9289823088096462,-0.5,0.5,-0.4684928994318923,0.8018262327652245,-0.5931641248992093,0.9264974582325415,0.4371639888508012,0.6632839916197165
"HandsOffAllow_Observed_12",1.173392181588902,7.468861783388706,8.960926583736367e-11,1.9767040649763077,0.9739792421290154,69.54707835358963,0.05,-0.6822730401010075,0.6822730401010075,-0.5,0.5,0.7592051855276581,1.5875791776501456,0.6778104599908823,1.6689739031869215,4.722782924182507,1.1705602127149507e-5
"HandsOffAllow_Observed_23",-0.0854800936768143,2.267769012321838,0.01287145257525207,-2.7315412627899383,0.003794771393514087,89.76488527970443,0.05,-0.9214469175434401,0.9214469175434401,-0.5,0.5,-0.6981448626301886,0.52718467527656,-0.8178533038602643,0.6468931165066357,-0.23188612523404997,0.8171542751423133
"TransProblems_12",-0.3389029003783102,0.5677718962071,0.2856778153805435,-4.791537927589358,2.6250144342016247e-6,109.17721096509777,0.05,-0.4300156850108948,0.4300156850108948,-0.5,0.5,-0.6051185532980563,-0.07268724745856414,-0.6569519064883396,-0.02085389426828088,-2.111883015691129,0.03697743351218873
"TransProblems_23",0.3672911787665886,4.911118897994407,1.7532933210375448e-6,-0.2749217078289729,0.3919698066180021,100.70742655157488,0.05,-0.4108511543220822,0.4108511543220822,-0.5,0.5,0.10425259538907522,0.630329762144102,0.05296780961054204,0.6816145479226352,2.318098595082717,0.022466273860914057
"AvailImplem_Rep_12",0.7660781841109703,5.288986907110952,3.275113312426369e-7,-0.08247309071907008,0.4672121309853075,107.23600512933311,0.05,-0.7903481036018856,0.7903481036018856,-0.5,0.5,0.2778177739485516,1.254338594273389,0.18272337687390894,1.3494329913480316,2.603256908195941,0.010541549859238886
"AvailImplem_Rep_23",0.02146760343481624,2.542192231636915,0.006402883393672325,-2.427814736723157,0.008636622106508658,86.0753603742959,0.05,-0.9328245800931018,0.9328245800931018,-0.5,0.5,-0.6026979979993028,0.6456332048689353,-0.7247569960877049,0.7676922029573374,0.057188747456879074,0.9545273911984014
