Exp,VPNr,TC01_LevelSel_n,TC01_ChangeAvail_n,TC02_LevelSel_n,TC02_ChangeAvail_n,TC03_LevelSel_n,TC03_ChangeAvail_n,TC04_LevelSel_n,TC04_ChangeAvail_n,TC05_LevelSel_n,TC05_ChangeAvail_n,TC06_LevelSel_n,TC06_ChangeAvail_n,TC06_ChangeAvailReason_n,TC07_LevelSel_n,TC07_ChangeAvail_n,TC08_LevelSel_n,TC08_ChangeAvail_n,TC09_LevelSel_n,TC09_ChangeAvail_n,TC10_LevelSel_n,TC10_ChangeAvail_n,TC10_ChangeAvailReason_n,TC11_LevelSel_n,TC11_ChangeAvail_n,TC12_LevelSel_n,TC12_ChangeAvail_n,TC12_ChangeAvailReason_n
2,23,,,,,,0,,0,,,,,,,,,,,,,7,,,0,,6,
2,24,,,,,,,,0,,,,,,,,,,,,,,0,,,,,
2,72,,,,,,88,,88,,88,,99,,,,,,,88,,,,,88,,,
2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,26,,,,,,88,,88,,88,,,,,,,,,88,,,0,,,,8,
2,27,,,,,,88,,88,,88,,88,,,,,88,,88,,8,0,,88,,,
2,28,,99,,,,,,,,,,,,,,,,,,,,,,,,,
2,29,,,,3,,,,,,,,,,,,,,,,,,,,,,,0
2,30,,77,,,,77,,,,,,8,,,,,,,2,,8,0,,2,,8,
2,31,,,,,,,,,,,,,,,,,,,,,,0,,0,,,
2,73,,,,,,,,,,,,,,,,,,,,,8,,,,,8,0
2,74,,,,99,,,,88,,88,,88,,,88,,88,,88,,99,,,88,,99,
2,32,,,,,,,,,,,,,,,,,,,,,7,,,,,8,
2,75,,,,99,,88,,88,4,88,4,88,,4,88,4,88,,88,,99,,,88,,88,
2,33,,,,,,88,,77,,88,,66,,,,,,,88,,8,,,,,8,
2,76,,,,,,,,,,,,,0,,,,,,,,,0,,,,,
2,34,,,,,,,,,,,,,,,,,,,,,8,,,3,,,
2,35,,,,,,,,,,,,,,,,,,,,,8,,,,,8,
2,77,,,,,,,,,,,,,,,,,,,,,,0,,,,,
2,78,,,,,,88,,88,,88,,,,,88,,88,,88,,99,,,,,,
2,79,,,,,2,88,,88,,,,88,,,,,88,99,88,,99,,,88,,88,
2,36,,,,,,88,,88,,,,88,,,,,,,,,8,,,88,,8,2
2,37,0,,0,,,88,,,,,,,,,,,,,,,8,,,0,,,
2,80,,,,,,,,,4,88,,,,,88,,,2,,4,88,,,,,88,
2,38,,,,,,,,,,0,,,,,,,,,,,,,,,,,
2,81,,,,,,,4,,,,,,0,,,,,,,,,,,,,,
2,82,,,,,,,,,,,2,,,,,,,,,,,,,,,,
3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
3,51,99,,,,4,,4,,,77,,,,,,,,,,4,,,4,,4,,
3,2,,,,,,,99,,,,,,,,,,,,,,,,,,,,
3,52,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,53,,,,1,,,,,,,,,,,,,,,,,,,,,,,
3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,,,,,,,,,,,,99,,,,,,,,,,,,,,,
3,4,0,,0,,4,,2,,,,,,,,,,,,,,,,,,,,
3,5,,,4,1,4,,4,,,,,5,,,,,,,,,5,,,,,,
3,8,,,,,,,,,,,,,,,,,,4,,,,,4,,4,8,
3,64,,,,,,0,,0,,,,,,,,,,,,,,,,,,,
3,55,2,,2,,4,3,,,2,,,,,,,,,4,,,7,,4,,,,
3,6,,,,,,,,,,,,66,,,,,,,,,,,,,,,
3,9,0,,0,,2,,,,,,,,,,5,,,,,,8,,,,,,
3,10,,,0,,,2,,88,,,,,,,,,,,88,0,99,,,,,,
3,58,,,,99,,88,,88,,88,,5,,,88,,88,,88,,99,,,,,8,
3,56,2,,,,2,,2,,2,,2,,,2,,2,,4,,,,,2,,2,,
3,57,,,2,,,,,,,,,,,,,,,,,,,,,,0,0,
3,7,,,,,,88,,,,,,,,,,,,,,,,,,,,,
3,11,,,4,,4,0,4,,,,,,,,,,,4,,,,,4,,,99,
3,62,,,,,4,,4,,,,,,,,5,,,4,,,,,4,,,6,
3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,13,,,,,4,,4,,,,,,,,,,,4,,,,,4,,,,
3,63,,,,,4,,4,,,,,,,,,,,,,,,,,,,,
3,61,,,0,0,2,,2,,,,,,,,,,,,,,,,4,0,,,
3,59,99,,,0,,0,,,,,,,,,,,0,,,,88,,,1,,,
3,60,,,,99,99,,,,4,,,,,,,,2,,,,8,,,,,,
3,15,,,,,4,,4,,,,,,,,,,,4,,,,,4,,,,
3,65,2,,4,2,,,,,,,,,,,5,,,,,,,,,,,,
3,14,,,,,4,,4,,,,,,,,,,2,4,,,,,,,,,
3,16,0,,0,0,2,,2,,4,,,,,,5,,,4,,0,,,4,,0,,
3,66,,,,,4,,4,,,,,,,,5,,2,4,,,,,4,,,,
3,67,0,,,,2,4,2,,4,,,,,,,,,,,0,0,,,,,0,
3,68,,,,,,,2,,4,,2,5,,2,,2,,4,,,6,,2,,,,
3,71,,,,,,,4,,,,,,,,,,,,,,,,,,,,
3,19,,,0,,2,2,,,,,2,,,,,2,,,2,,,,,,,,
3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,18,,,,3,,,,,,,,,,,,,,,,,,,4,,,,
3,69,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,70,,,,,,,4,,,,,,,,,,,,,,,,4,,,,
3,17,,,4,,2,,4,,,,,,,,,,,,,,,,,,,,
3,21,,,,,4,,4,,2,,,,,,,,,4,,,,,4,,,,
