Exp,HMI,VP,TC10_Comment,TC10_valid,TC10_EB_triggered,TC10_Aut_Lvl_Notification,TC10_Aut_Lvl_End,TC10_TimeToL0,TC10_Nth_Gaze_To_IC,TC10_N_Gazes_Till_EB_or_TO,TC10_IC_Glance_Allocation_Time,TC10_IC_Glance_at_Start,TC10_IC_Number_Of_Glances_after_start,TC10_IC_Total_Duration,TC10_IC_Mean_Duration,TC10_IC_Max_Duration,TC10_IC_First_Glance_Duration_incl_start,TC10_IC_First_Glance_Duration_without_start,TC10_Street_Glance_at_Start,TC10_Street_Number_Of_Glances_after_start,TC10_Street_Total_Duration,TC10_Street_Mean_Duration,TC10_Street_Max_Duration,TC10_Street_First_Glance_Duration_incl_start,TC10_Street_First_Glance_Duration_without_start,TC10_Surt_Glance_at_Start,TC10_Surt_Number_Of_Glances_after_start,TC10_Surt_Total_Duration,TC10_Surt_Mean_Duration,TC10_Surt_Max_Duration,TC10_Surt_First_Glance_Duration_incl_start,TC10_Surt_First_Glance_Duration_without_start,TC10_Wheel_Glance_at_Start,TC10_Wheel_Number_Of_Glances_after_start,TC10_Wheel_Total_Duration,TC10_Wheel_Mean_Duration,TC10_Wheel_Max_Duration,TC10_Wheel_First_Glance_Duration_incl_start,TC10_Wheel_First_Glance_Duration_without_start
2,HC,38,,1,0,3,0,6.9,1,5,0.629,0,3,4.911,1.637,2.057,2.057,2.057,0,1,0.731,0.731,0.731,0.731,0.731,1,1,0.629,0.629,0.629,0.629,,0,1,0.63,0.63,0.63,0.63,0.63
2,LC,53,,1,0,3,0,9.6,1,4,1.343,0,2,6.443,3.221,4.097,4.097,4.097,0,0,0.000,,0.000,,,1,1,1.343,1.343,1.343,1.343,,0,2,1.81,0.91,0.93,0.93,0.93
2,LC,54,,1,0,3,0,13.7,1,5,0.561,0,3,12.374,4.125,7.888,3.961,3.961,1,2,0.969,0.485,0.561,0.561,0.408,0,0,0.000,,0.000,,,0,1,0.36,0.36,0.36,0.36,0.36
2,LC,55,kein ET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LC,56,,1,0,3,0,8.8,1,3,1.506,0,2,6.444,3.222,3.543,3.543,3.543,0,1,0.850,0.850,0.850,0.850,0.850,1,1,1.506,1.506,1.506,1.506,,0,0,0.00,,0.00,,
2,LC,57,,1,0,3,3,0,1,10,0.272,0,5,16.158,3.232,5.780,5.780,5.780,0,4,2.618,0.655,0.986,0.561,0.561,1,2,1.224,0.612,0.952,0.272,0.952,0,0,0.00,,0.00,,
2,LC,58,,1,1,3,0,25.3,1,3,4.756,0,2,13.935,6.967,8.776,8.776,8.776,0,1,1.309,1.309,1.309,1.309,1.309,1,1,4.756,4.756,4.756,4.756,,0,0,0.00,,0.00,,
2,LC,59,,1,0,3,0,9.4,1,9,0.340,0,5,4.997,0.999,2.669,2.669,2.669,0,1,0.731,0.731,0.731,0.731,0.731,1,3,2.975,0.992,1.802,0.340,0.833,0,1,0.70,0.70,0.70,0.70,0.70
2,LC,60,,1,1,3,0,27.8,1,7,0.663,0,4,14.492,3.623,9.571,9.571,9.571,0,2,4.420,2.210,3.672,3.672,3.672,1,1,0.663,0.663,0.663,0.663,,0,1,0.42,0.42,0.42,0.42,0.42
2,LC,61,,1,0,3,0,5.7,1,2,0.663,0,1,5.032,5.032,5.032,5.032,5.032,0,0,0.000,,0.000,,,1,1,0.663,0.663,0.663,0.663,,0,1,0.01,0.01,0.01,0.01,0.01
2,LC,62,,1,1,3,0,25.2,3,3,18.700,0,1,1.300,1.300,1.300,1.300,1.300,0,1,0.544,0.544,0.544,0.544,0.544,1,2,18.156,9.078,17.391,17.391,0.765,0,0,0.00,,0.00,,
2,LC,63,,1,1,3,0,31.8,,7,,0,0,0.000,,0.000,,,1,4,1.683,0.421,0.527,0.527,0.306,0,4,18.317,4.579,6.681,5.865,5.865,0,0,0.00,,0.00,,
2,LC,64,,1,1,3,0,28.2,1,5,0.799,0,3,8.083,2.694,4.947,4.947,4.947,0,1,0.612,0.612,0.612,0.612,0.612,1,2,11.305,5.652,10.506,0.799,10.506,0,0,0.00,,0.00,,
2,LC,65,kein ET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LC,66,,1,1,3,0,28.8,1,11,0.255,0,6,15.886,2.648,6.800,2.992,2.992,1,6,4.114,0.686,1.071,0.255,0.272,0,0,0.000,,0.000,,,0,0,0.00,,0.00,,
2,LC,67,,1,1,3,0,21.5,5,12,6.477,0,4,9.035,2.259,4.377,2.754,2.754,0,4,1.615,0.404,0.442,0.442,0.442,1,5,9.350,1.870,3.162,2.720,1.938,0,0,0.00,,0.00,,
2,LC,68,kein ET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LC,69,,1,0,3,0,4.9,1,3,0.751,0,2,3.520,1.760,2.788,2.788,2.788,0,1,0.629,0.629,0.629,0.629,0.629,1,1,0.751,0.751,0.751,0.751,,0,0,0.00,,0.00,,
2,LC,70,,1,0,3,0,6,1,3,0.765,0,2,4.504,2.252,4.148,4.148,4.148,0,0,0.000,,0.000,,,1,1,0.765,0.765,0.765,0.765,,0,1,0.73,0.73,0.73,0.73,0.73
2,LC,71,,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LC,72,,1,1,3,0,43.1,,8,,0,0,0.000,,0.000,,,0,4,4.078,1.020,1.649,0.831,0.831,1,5,15.922,3.184,5.295,2.601,1.906,0,0,0.00,,0.00,,
2,LC,73,kein ET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LC,74,,1,1,3,0,27.6,,8,,0,0,0.000,,0.000,,,0,4,2.006,0.502,0.884,0.884,0.884,1,5,17.994,3.599,5.771,2.346,5.771,0,0,0.00,,0.00,,
2,LC,75,,1,1,3,0,38,,1,,0,0,0.000,,0.000,,,1,1,0.255,0.255,0.255,0.255,,0,1,19.745,19.745,19.745,19.745,19.745,0,0,0.00,,0.00,,
2,LC,76,,1,0,3,0,9.7,1,3,0.663,0,2,8.697,4.349,6.256,6.256,6.256,0,1,0.340,0.340,0.340,0.340,0.340,1,1,0.663,0.663,0.663,0.663,,0,0,0.00,,0.00,,
2,LC,77,,1,1,3,0,21.6,5,5,16.796,0,1,3.204,3.204,3.204,3.204,3.204,0,2,1.428,0.714,0.799,0.629,0.629,1,3,15.368,5.123,9.554,9.554,5.151,0,0,0.00,,0.00,,
2,LC,78,,1,0,3,0,8.1,1,4,3.689,0,2,3.323,1.662,2.822,2.822,2.822,0,1,0.450,0.450,0.450,0.450,0.450,1,1,3.689,3.689,3.689,3.689,,0,1,0.64,0.64,0.64,0.64,0.64
2,LC,79,,1,0,3,3,0,,0,,0,0,0.000,,0.000,,,0,0,0.000,,0.000,,,1,1,20.000,20.000,20.000,20.000,,0,0,0.00,,0.00,,
2,LC,80,,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,LC,81,,1,1,3,0,28.2,5,8,8.670,0,2,6.842,3.421,6.800,6.800,6.800,0,3,2.312,0.771,1.054,0.578,0.578,1,4,10.846,2.712,3.808,1.190,3.383,0,0,0.00,,0.00,,
2,LC,82,,1,1,3,0,21.6,1,7,2.807,0,3,11.209,3.736,6.630,0.950,0.950,0,3,2.618,0.873,1.105,1.105,1.105,1,2,6.173,3.086,3.366,2.807,3.366,0,0,0.00,,0.00,,
3,HC,1,starts on other,1,0,3,0,14.5,1,6,0.595,0,3,12.574,4.191,4.777,4.777,4.777,0,3,1.331,0.444,0.612,0.612,0.612,0,0,0.000,,0.000,,,0,0,0.00,,0.00,,
3,HC,2,,1,0,3,0,10.8,3,5,7.837,0,1,1.836,1.836,1.836,1.836,1.836,0,2,0.957,0.479,0.748,0.748,0.748,1,3,8.007,2.669,4.913,4.913,2.176,0,0,0.00,,0.00,,
3,HC,3,,1,1,3,0,26.1,,0,,0,0,0.000,,0.000,,,0,0,0.000,,0.000,,,1,1,20.000,20.000,20.000,20.000,,0,0,0.00,,0.00,,
3,HC,4,,1,0,3,0,5.6,1,1,0.561,0,1,5.039,5.039,5.039,5.039,5.039,0,0,0.000,,0.000,,,1,1,0.561,0.561,0.561,0.561,,0,0,0.00,,0.00,,
3,HC,5,,1,0,3,0,10,1,2,6.698,0,1,3.264,3.264,3.264,3.264,3.264,0,1,0.038,0.038,0.038,0.038,0.038,1,1,6.698,6.698,6.698,6.698,,0,0,0.00,,0.00,,
3,HC,6,,1,0,3,0,5.4,1,3,1.414,0,2,3.623,1.812,3.026,3.026,3.026,0,0,0.000,,0.000,,,1,1,1.414,1.414,1.414,1.414,,0,1,0.36,0.36,0.36,0.36,0.36
3,HC,7,,1,1,3,0,27.9,,4,,0,0,0.000,,0.000,,,0,2,1.088,0.544,1.071,1.071,1.071,1,3,18.912,6.304,14.413,14.413,0.017,0,0,0.00,,0.00,,
3,HC,8,starts on other,1,0,3,0,9.7,1,4,1.690,0,2,1.700,0.850,1.156,1.156,1.156,0,0,0.000,,0.000,,,0,0,0.000,,0.000,,,0,2,6.31,3.15,4.51,1.80,1.80
3,HC,9,,1,0,3,0,4.9,1,3,0.748,0,2,3.642,1.821,3.587,3.587,3.587,0,1,0.510,0.510,0.510,0.510,0.510,1,1,0.748,0.748,0.748,0.748,,0,0,0.00,,0.00,,
3,HC,10,,1,0,3,0,15.1,1,3,10.273,0,2,4.494,2.247,3.455,3.455,3.455,1,2,10.606,5.303,10.273,10.273,0.333,0,0,0.000,,0.000,,,0,0,0.00,,0.00,,
3,HC,11,,1,0,3,0,8.3,1,4,0.816,0,2,6.154,3.077,4.182,4.182,4.182,0,1,0.646,0.646,0.646,0.646,0.646,1,1,0.816,0.816,0.816,0.816,,0,1,0.68,0.68,0.68,0.68,0.68
3,HC,12,,1,0,3,0,5.4,1,3,0.823,0,2,3.625,1.812,2.448,2.448,2.448,0,1,0.952,0.952,0.952,0.952,0.952,1,1,0.823,0.823,0.823,0.823,,0,0,0.00,,0.00,,
3,HC,13,,1,1,3,0,22.5,5,7,15.861,0,2,3.561,1.781,2.448,2.448,2.448,0,3,1.870,0.623,0.782,0.782,0.782,1,3,14.569,4.856,9.010,4.199,9.010,0,0,0.00,,0.00,,
3,HC,14,,1,0,3,0,8,1,1,0.493,0,1,7.507,7.507,7.507,7.507,7.507,1,1,0.493,0.493,0.493,0.493,,0,0,0.000,,0.000,,,0,0,0.00,,0.00,,
3,HC,15,,1,1,3,0,23.3,1,3,0.935,0,2,18.419,9.210,13.217,5.202,5.202,0,0,0.000,,0.000,,,1,1,0.935,0.935,0.935,0.935,,0,1,0.65,0.65,0.65,0.65,0.65
3,HC,16,,1,0,3,0,15.1,1,1,13.651,0,1,1.449,1.449,1.449,1.449,1.449,0,0,0.000,,0.000,,,1,1,13.651,13.651,13.651,13.651,,0,0,0.00,,0.00,,
3,HC,17,kein ET,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HC,18,,1,0,3,0,15.5,2,5,2.465,0,2,1.866,0.933,1.118,0.748,0.748,0,2,3.026,1.513,2.465,0.561,0.561,1,2,10.608,5.304,8.704,1.904,8.704,0,0,0.00,,0.00,,
3,HC,19,,1,0,3,0,5.8,0,0,,1,1,5.800,5.800,5.800,5.800,,0,0,0.000,,0.000,,,0,0,0.000,,0.000,,,0,0,0.00,,0.00,,
3,HC,20,,1,0,3,0,9.8,4,4,9.284,0,1,0.516,0.516,0.516,0.516,0.516,0,2,6.528,3.264,4.607,1.921,1.921,1,2,2.756,1.378,1.428,1.328,1.428,0,0,0.00,,0.00,,
3,HC,21,,1,1,3,0,21,1,3,14.518,0,2,4.972,2.486,3.179,3.179,3.179,0,1,0.510,0.510,0.510,0.510,0.510,1,1,14.518,14.518,14.518,14.518,,0,0,0.00,,0.00,,
3,LC,51,,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,LC,52,,1,1,3,0,21.9,3,5,13.991,0,2,5.550,2.775,3.459,2.091,2.091,0,2,1.198,0.599,0.739,0.739,0.739,1,2,13.252,6.626,12.631,12.631,0.621,0,0,0.00,,0.00,,
3,LC,53,,1,1,3,0,35.4,,3,,0,0,0.000,,0.000,,,0,2,0.773,0.387,0.748,0.748,0.748,1,2,19.227,9.613,16.388,2.839,16.388,0,0,0.00,,0.00,,
3,LC,54,,1,1,3,0,25.5,1,8,0.510,0,4,15.079,3.770,8.721,8.721,8.721,1,1,0.510,0.510,0.510,0.510,,0,4,4.411,1.103,1.887,1.887,1.887,0,0,0.00,,0.00,,
3,HC,55,,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,HC,56,,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
