Exp,HMI,VP,TC12_Comment,TC12_valid,TC12_EB_triggered,TC12_Aut_Lvl_Notification,TC12_Aut_Lvl_End,TC12_TimeToL0,TC12_Nth_Gaze_To_IC,TC12_N_Gazes_Till_EB_or_TO,TC12_IC_Glance_Allocation_Time,TC12_IC_Glance_at_Start,TC12_IC_Number_Of_Glances_after_start,TC12_IC_Total_Duration,TC12_IC_Mean_Duration,TC12_IC_Max_Duration,TC12_IC_First_Glance_Duration_incl_start,TC12_IC_First_Glance_Duration_without_start,TC12_Street_Glance_at_Start,TC12_Street_Number_Of_Glances_after_start,TC12_Street_Total_Duration,TC12_Street_Mean_Duration,TC12_Street_Max_Duration,TC12_Street_First_Glance_Duration_incl_start,TC12_Street_First_Glance_Duration_without_start,TC12_Surt_Glance_at_Start,TC12_Surt_Number_Of_Glances_after_start,TC12_Surt_Total_Duration,TC12_Surt_Mean_Duration,TC12_Surt_Max_Duration,TC12_Surt_First_Glance_Duration_incl_start,TC12_Surt_First_Glance_Duration_without_start,TC12_Wheel_Glance_at_Start,TC12_Wheel_Number_Of_Glances_after_start,TC12_Wheel_Total_Duration,TC12_Wheel_Mean_Duration,TC12_Wheel_Max_Duration,TC12_Wheel_First_Glance_Duration_incl_start,TC12_Wheel_First_Glance_Duration_without_start
1,HC,1,,1,0,3,0,2.9166666,1,3,0.240,0,2,2.297,1.148,1.750,1.750,1.750,0,1,0.380,0.380,0.380,0.380,0.380,1,1,0.240,0.240,0.240,0.240,,0,0,0.00,,0.00,,
1,HC,2,,1,1,3,0,9.8333324,1,5,0.880,0,3,4.210,1.403,1.550,1.550,1.550,0,2,0.910,0.455,0.590,0.320,0.320,1,1,0.880,0.880,0.880,0.880,,0,0,0.00,,0.00,,
1,HC,3,,1,1,3,0,7.5666658,1,3,0.800,0,2,4.210,2.105,3.590,3.590,3.590,0,1,0.990,0.990,0.990,0.990,0.990,1,1,0.800,0.800,0.800,0.800,,0,0,0.00,,0.00,,
1,HC,4,,1,0,3,0,2.6333313,0,5,,1,3,1.553,0.518,1.050,0.200,1.050,0,2,0.690,0.345,0.560,0.130,0.130,0,0,0.000,,0.000,,,0,1,0.39,0.39,0.39,0.39,0.39
1,HC,5,,1,0,3,0,3.0499886,1,1,0.230,0,1,2.820,2.820,2.820,2.820,2.820,1,1,0.230,0.230,0.230,0.230,,0,0,0.000,,0.000,,,0,0,0.00,,0.00,,
1,HC,6,,1,0,3,0,3.2499981,1,3,0.820,0,2,1.730,0.865,1.390,1.390,1.390,0,0,0.000,,0.000,,,1,1,0.820,0.820,0.820,0.820,,0,1,0.70,0.70,0.70,0.70,0.70
1,HC,7,,1,0,3,0,4.2500002,1,5,0.920,0,3,2.630,0.877,1.900,1.900,1.900,0,1,0.290,0.290,0.290,0.290,0.290,1,1,0.920,0.920,0.920,0.920,,0,1,0.41,0.41,0.41,0.41,0.41
1,HC,8,,1,1,3,0,8.3500006,1,3,0.890,0,2,4.300,2.150,3.360,0.940,0.940,0,1,0.810,0.810,0.810,0.810,0.810,1,1,0.890,0.890,0.890,0.890,,0,0,0.00,,0.00,,
1,HC,9,,1,1,3,0,6.9166672,1,7,0.220,0,4,4.430,1.107,2.080,0.900,0.900,0,3,1.350,0.450,0.740,0.490,0.490,1,1,0.220,0.220,0.220,0.220,,0,0,0.00,,0.00,,
1,HC,10,,1,0,3,0,4.6500006,1,3,0.810,0,2,3.370,1.685,2.860,2.860,2.860,0,0,0.000,,0.000,,,1,1,0.810,0.810,0.810,0.810,,0,1,0.47,0.47,0.47,0.47,0.47
