Exp,HMI,VP,TC01_Duration,TC01_Surt_AOI_Attention_Ratio,TC01_street_AOI_Attention_Ratio,TC01_ic_AOI_Attention_Ratio,TC01_wheel_AOI_Attention_Ratio,TC01_EyesOnAOIs,TC01_valid,TC01_Comment,TC04_Duration,TC04_Surt_AOI_Attention_Ratio,TC04_street_AOI_Attention_Ratio,TC04_ic_AOI_Attention_Ratio,TC04_wheel_AOI_Attention_Ratio,TC04_EyesOnAOIs,TC04_valid,TC04_Comment,TC07_Duration,TC07_Surt_AOI_Attention_Ratio,TC07_street_AOI_Attention_Ratio,TC07_ic_AOI_Attention_Ratio,TC07_wheel_AOI_Attention_Ratio,TC07_EyesOnAOIs,TC07_valid,TC07_Comment,TC01_Lvl_start,TC01_Lvl_end,TC01_prop_L0,TC01_prop_L2,TC01_prop_L3,TC04_Lvl_start,TC04_Lvl_end,TC04_prop_L0,TC04_prop_L2,TC04_prop_L3,TC07_Lvl_start,TC07_Lvl_end,TC07_prop_L0,TC07_prop_L2,TC07_prop_L3
1,LC,54,71.088,0,80.074,17.767,0,0.98,1,,71.663,95.645,1.394,1.69,0,0.99,1,,71.648,0.74,41.126,57.981,0,1.00,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,55,69.925,0,69.865,23.993,0,0.94,1,,71.785,90.835,3.718,3.265,0,0.98,1,,71.957,1.705,59.123,29.645,1.702,0.92,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,56,74.274,0,80.966,16.018,0,0.97,1,,72.031,1.447,70.524,20.563,1.272,0.94,1,,70.793,0,62.075,34.515,0,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,57,75.385,0,82.735,17.189,0,1.00,1,,70.494,1.338,86.585,11.375,0,0.99,1,,70.385,0,79.075,20.666,0,1.00,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,58,72.434,0,70.826,14.825,0,0.86,1,,73.049,97.608,0.846,0.364,0,0.99,1,,71.807,0,77.785,20.084,0,0.98,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,59,64.152,0,77.589,17.75,0,0.95,1,,70.896,95.448,1.234,0.473,0,0.97,1,,71.217,0,79.21,17.351,0,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,60,71.461,0,73.254,22.825,0,0.96,1,,70.047,65.659,28.007,3.819,0,0.97,1,,69.558,0,59.914,37.751,0,0.98,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,61,64.516,0,77.713,20.697,0,0.98,1,,71.797,92.919,0,1.536,0,0.94,1,,68.766,0,67.129,15.394,0,0.83,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,62,75.834,0,77.977,15.129,0,0.93,1,,71.51,0.885,91.896,2.958,0.192,0.96,1,,71.283,0,64.25,32.698,0,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,63,66.19,0,74.685,22.683,0,0.97,1,,72.463,93.347,1.057,1.931,0,0.96,1,,70.702,0.406,76.185,17.2,0,0.94,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,65,68.568,0,58.606,37.221,0,0.96,1,,72.261,95.583,2.79,0.814,0,0.99,1,,71.879,0,73.703,24.536,0,0.98,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,66,62.876,0,78.765,17.593,0,0.96,1,,72.715,73.263,13.422,2.301,0,0.89,1,,71.545,0.233,62.837,29.011,0,0.92,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,67,72.201,0,93.636,5.853,0,0.99,1,,71.951,0.4,57.072,33.986,2.275,0.94,1,,70.313,0,79.029,19.956,0,0.99,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,68,70.52,0,69.986,20.296,0,0.90,1,,72.162,97.758,0.88,0.18,0,0.99,1,,71.698,0,56.336,37.606,0,0.94,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,69,73.473,0,74.774,24.178,0,0.99,1,,72.377,96.821,0,0.231,0,0.97,1,,71.294,0,61.934,34.22,0,0.96,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,70,61.909,0,77.045,16.742,0.375,0.94,1,,72.155,65.406,10.375,15.953,0,0.92,1,,71.567,0.356,35.768,50.423,0,0.87,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,71,70.456,0,87.497,12.72,0,1.00,1,,71.067,97.232,0,1.727,0,0.99,1,,71.741,0,51.556,47.048,0,0.99,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,72,70.938,0,64.019,36.22,0,1.00,1,,72.097,98.797,0,0.786,0,1.00,1,,72.331,0,78.58,18.171,0,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,73,74.649,0,82.758,15.2,0,0.98,1,,72.593,91.159,0.284,0.205,0,0.92,1,,70.415,0,68.447,31.255,0,1.00,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,74,69.919,0,76.534,22.277,0,0.99,1,,72.602,70.678,8.54,14.628,0,0.94,1,,71.212,0.365,57.106,41.492,0,0.99,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,75,70.324,0,78.545,20.895,0,0.99,1,,72.194,1.52,66.903,29.858,0,0.98,1,,69.914,27.338,45.513,24.187,0,0.97,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
1,LC,76,73.297,0,76.726,19.2,0,0.96,1,,64.059,76.259,17.676,0.234,0,0.94,1,,81.881,0.308,81.919,14.249,0,0.96,1,,0,0,1,0,0,0,3,0.002504174,0.010016694,0.987479132,2,2,0,1,0
1,LC,77,72.721,0,77.943,20.969,0,0.99,1,,74.231,94.601,0.742,3.059,0,0.98,1,,72.216,0,91.552,8.559,0,1.00,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,4,73.511,0,0,22.726,77.331,1.00,1,,69.238,0,94.928,0,4.477,0.99,1,,74.641,0,0,12.694,85.942,0.99,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,6,73.434,3.825,8.86,55.939,30.836,0.99,0,,83.222,1.067,59.435,20.764,13.791,0.95,1,,74.461,0,0.179,36.349,63.631,1.00,1,,0,3,0.524429967,0.382736156,0.092833876,3,3,0.282087447,0.009873061,0.708039492,2,2,0,1,0
2,HC,7,,,,,,0.00,0,,,,,,,0.00,0,,74.443,0,0.865,21.689,69.356,0.92,1,,0,0,1,0,0,3,3,0,0,1,2,2,0,1,0
2,HC,8,70.128,0,0,28.602,63.025,0.92,1,,69.351,0,0,51.957,42.188,0.94,0,,73.125,0,0,42.438,45.823,0.88,1,,0,0,1,0,0,2,2,0,1,0,2,2,0,1,0
