"Exp","HMI","variable","n","0","1","2","3","4","5","6","7","8","9","10","11","12","13"
2,"HC","TC10_ic_n_glances_after_start",31,0,8,11,6,4,2,0,0,0,0,0,0,0,0
2,"HC","TC10_street_glance_at_start",31,28,3,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_street_n_glances_after_start",31,12,10,6,2,1,0,0,0,0,0,0,0,0,0
2,"HC","TC10_surt_glance_at_start",31,5,26,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_surt_n_glances_after_start",31,4,20,4,2,0,1,0,0,0,0,0,0,0,0
2,"HC","TC10_wheel_glance_at_start",31,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC10_wheel_n_glances_after_start",31,16,13,2,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_valid",33,1,32,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_lvl_notification",32,0,0,0,32,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_lvl_end",32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_EB_triggered",32,30,2,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_nth_gaze_to_ic",32,1,27,3,1,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_n_gazes_till_EB_or_TO",32,0,7,8,9,1,6,0,1,0,0,0,0,0,0
2,"HC","TC12_ic_glance_at_start",32,31,1,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_ic_n_glances_after_start",32,0,17,8,6,1,0,0,0,0,0,0,0,0,0
2,"HC","TC12_street_glance_at_start",32,28,4,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_street_n_glances_after_start",32,9,17,6,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_surt_glance_at_start",32,5,27,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_surt_n_glances_after_start",32,4,27,1,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_wheel_glance_at_start",32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"HC","TC12_wheel_n_glances_after_start",32,22,10,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_valid",28,4,24,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_lvl_notification",24,0,0,0,24,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_lvl_end",24,22,0,0,2,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_EB_triggered",24,11,13,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_nth_gaze_to_ic",19,0,15,0,1,0,3,0,0,0,0,0,0,0,0
2,"LC","TC10_n_gazes_till_EB_or_TO",24,1,1,1,6,2,3,0,3,3,1,1,1,1,0
2,"LC","TC10_ic_glance_at_start",24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_ic_n_glances_after_start",24,5,3,8,3,2,2,1,0,0,0,0,0,0,0
2,"LC","TC10_street_glance_at_start",24,20,4,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_street_n_glances_after_start",24,4,9,3,2,5,0,1,0,0,0,0,0,0,0
2,"LC","TC10_surt_glance_at_start",24,4,20,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_surt_n_glances_after_start",24,2,11,4,2,2,3,0,0,0,0,0,0,0,0
2,"LC","TC10_wheel_glance_at_start",24,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC10_wheel_n_glances_after_start",24,17,6,1,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_valid",28,3,25,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_lvl_notification",25,0,0,0,25,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_lvl_end",25,22,0,0,3,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_EB_triggered",25,9,16,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_nth_gaze_to_ic",25,8,10,1,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_n_gazes_till_EB_or_TO",25,4,1,6,6,3,3,1,1,0,0,0,0,0,0
2,"LC","TC12_ic_glance_at_start",25,17,8,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_ic_n_glances_after_start",25,6,4,9,4,2,0,0,0,0,0,0,0,0,0
2,"LC","TC12_street_glance_at_start",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_street_n_glances_after_start",25,8,11,6,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_surt_glance_at_start",25,8,17,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_surt_n_glances_after_start",25,6,14,4,1,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_wheel_glance_at_start",25,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"LC","TC12_wheel_n_glances_after_start",25,19,6,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_valid",23,3,20,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_lvl_notification",20,0,0,0,20,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_lvl_end",20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_EB_triggered",20,15,5,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_nth_gaze_to_ic",18,1,13,1,1,1,1,0,0,0,0,0,0,0,0
3,"HC","TC10_n_gazes_till_EB_or_TO",20,2,3,1,6,4,2,1,1,0,0,0,0,0,0
3,"HC","TC10_ic_glance_at_start",20,19,1,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_ic_n_glances_after_start",20,2,7,10,1,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_street_glance_at_start",20,18,2,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_street_n_glances_after_start",20,7,6,5,2,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_surt_glance_at_start",20,5,15,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_surt_n_glances_after_start",20,5,10,2,3,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_wheel_glance_at_start",20,20,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC10_wheel_n_glances_after_start",20,16,3,1,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_valid",21,1,20,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_lvl_notification",20,0,0,0,20,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_lvl_end",20,19,0,0,1,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_EB_triggered",20,15,5,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_nth_gaze_to_ic",20,2,16,2,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_n_gazes_till_EB_or_TO",20,0,10,3,4,2,1,0,0,0,0,0,0,0,0
3,"HC","TC12_ic_glance_at_start",20,18,2,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_ic_n_glances_after_start",20,0,15,4,1,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_street_glance_at_start",20,17,3,0,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_street_n_glances_after_start",20,6,10,4,0,0,0,0,0,0,0,0,0,0,0
3,"HC","TC12_surt_glance_at_start",20,5,15,0,0,0,0,0,0,0,0,0,0,0,0
