"Test","eta_sq_Exp","eta_sq_HMI","eta_sq_Interaction","eta_sq_Residuals","eta_sq_part_Exp","eta_sq_part_HMI","eta_sq_part_Interaction","eta_sq_part_Residuals","SumSq_Exp","SumSq_HMI","SumSq_Interaction","SumSq_Residuals","Df_Exp","Df_HMI","Df_Interaction","Df_Residuals","MeanSq_Exp","MeanSq_HMI","MeanSq_Interaction","MeanSq_Residuals","F_Exp","F_HMI","F_Interaction","F_Residuals","p_Exp","p_HMI","p_Interaction","p_Residuals","lev_Df_group","lev_Df","lev_F","lev_x1","lev_p","lev_x2","shap_W","shap_p","method","data"
"SUS 12",1.1157034591140212e-4,0.006573930171463829,0.004826872677937466,0.9892949707091084,1.1276491642397359e-4,0.0066012003845596495,0.004855413559259454,NA,2.6946953745136852,158.77641214348114,116.58072198622904,23893.88111888112,1,1,1,109,2.6946953745136852,158.77641214348114,116.58072198622904,219.20991852184514,0.012292762082501974,0.7243121717033915,0.5318222951422306,NA,0.9119211663432989,0.39659887153098516,0.4674058848903161,NA,3,109,0.5796264091078871,NA,0.6296160916853035,NA,"0.946535282167002","0.0001965462730739","Shapiro-Wilk normality test","anova_SUS_res"
"UMUX 12",0.01481831485328826,0.09103680143911003,0.03496301609676598,0.865886627195366,0.016825515727002277,0.09513488615177809,0.03881115606483956,NA,410.94141280239637,2524.6319956616026,969.5941389347427,24012.762411199907,1,1,1,109,410.94141280239637,2524.6319956616026,969.5941389347427,220.30057257981565,1.8653669756283129,11.45994295928087,4.401232949966371,NA,0.17481826441074078,9.894469355178348e-4,0.038224229967684265,NA,3,109,2.558792215724161,NA,0.05880908620398474,NA,"0.963821794750583","0.00376464153967733","Shapiro-Wilk normality test","anova_UMUX_res"
"Trust 12",9.847015537070121e-7,0.008495149779573214,0.007676586799482313,0.9849716514828448,9.997247817173515e-7,0.008551015261685904,0.007733441216564122,NA,1.2611151225883077e-4,1.0879805983184383,0.9831465855053807,126.1461038961038,1,1,1,109,1.2611151225883077e-4,1.0879805983184383,0.9831465855053807,1.1573037054688422,1.0897011014731089e-4,0.9400994684257751,0.8495147651040246,NA,0.9916902162449314,0.3343988400129059,0.35872521012487424,NA,3,109,1.7657021562186146,NA,0.15799763458190394,NA,"0.924436892123443","7.89979820489899e-06","Shapiro-Wilk normality test","anova_Trust_res"
"Acceptance 12",0.015244634920445414,0.001488733878949757,0.011122496224508767,0.9733188214613204,0.015420997834820028,0.0015272079815077896,0.011298282614401965,NA,1.9464565719662517,0.19008364960608048,1.4201360666124998,124.27472527472506,1,1,1,109,1.9464565719662517,0.19008364960608048,1.4201360666124998,1.1401350942635327,1.7072157341350502,0.16672028653662707,1.2455857851913883,NA,0.19409716996762993,0.6838441995537523,0.2668515918521748,NA,3,109,0.5578711355038226,NA,0.6439651137732318,NA,"0.90194490715173","4.8135229979707e-07","Shapiro-Wilk normality test","anova_Acceptance_res"
"UEQ_Attractiveness 12",0.02883444249289172,0.005012651627392279,0.025496173085450165,0.943351060282602,0.02965940390035876,0.005285579324093762,0.026315988947830857,NA,3.1465549929804553,0.5470049927315586,2.782266754201828,102.9430685055685,1,1,1,109,3.1465549929804553,0.5470049927315586,2.782266754201828,0.9444318211520046,3.3316909940013795,0.5791894983635024,2.9459688797948997,NA,0.0706951589074698,0.44827349690677853,0.08893269971017492,NA,3,109,0.17824227591268782,NA,0.9109462583847298,NA,"0.956805505392858","0.00107631803401271","Shapiro-Wilk normality test","anova_UEQ_Attractiveness_res"
"UEQ_Perspicuity 12",7.205583816706582e-5,0.006297653262963895,0.005745060676379698,0.9887352025271937,7.287146969995385e-5,0.006329090769533349,0.005776947908320292,NA,0.011182763193943401,0.9773693139757142,0.8916092673827904,153.44754724442225,1,1,1,109,0.011182763193943401,0.9773693139757142,0.8916092673827904,1.4077756627928648,0.007943569056846804,0.6942649598279929,0.6333461296055796,NA,0.9291447723215647,0.40653957762539983,0.42786033636048815,NA,3,109,1.488927172967896,NA,0.2216060356559987,NA,"0.932187477009049","2.29520278115351e-05","Shapiro-Wilk normality test","anova_UEQ_Perspicuity_res"
"UEQ_Efficiency 12",0.013136001409787244,6.977982993477386e-4,0.0018941516302972922,0.9842307466903747,0.013170683136177749,7.084760644793984e-4,0.0019208029667671413,NA,1.1742626215999081,0.06237807341658197,0.16932332676543638,87.983042998668,1,1,1,109,1.1742626215999081,0.06237807341658197,0.16932332676543638,0.8071838807217248,1.4547647068347902,0.07727864109576627,0.20977045108239756,NA,0.2303764348006625,0.7815463769213156,0.6478591369702313,NA,3,109,0.25143387402080414,NA,0.8601648255458721,NA,"0.959832116972581","0.00182985752142898","Shapiro-Wilk normality test","anova_UEQ_Efficiency_res"
"UEQ_Dependability 12",1.5761936772121344e-5,0.042938932200424676,0.007984774556583097,0.9516193809928457,1.656300409797611e-5,0.04317387088400963,0.008320904521314159,NA,0.001958873973975983,5.336397295191716,0.9923378892511039,118.2660776723277,1,1,1,109,0.001958873973975983,5.336397295191716,0.9923378892511039,1.085009886902089,0.001805397349483094,4.918293703689791,0.9145887988951129,NA,0.9661858460007452,0.028648267102955205,0.34101608094699587,NA,3,109,2.5097590276622457,NA,0.0625434794601101,NA,"0.963104479883306","0.0033005585636657","Shapiro-Wilk normality test","anova_UEQ_Dependability_res"
"UEQ_Novelty 12",0.0012904014080928493,8.330150030886118e-4,0.0076791243587212895,0.9903523983503559,0.0013012764358367492,8.404229843035118e-4,0.007694270355185693,NA,0.19287789719504644,0.12451178456564094,1.1478082318574536,148.0291999667,1,1,1,109,0.19287789719504644,0.12451178456564094,1.1478082318574536,1.358066054740367,0.14202394391775042,0.0916831579222742,0.8451785005972261,NA,0.7070098361945714,0.7626252691198543,0.35994991325924885,NA,3,109,0.8489573937795641,NA,0.4700630384966087,NA,"0.980959776048559","0.107672459503161","Shapiro-Wilk normality test","anova_UEQ_Novelty_res"
"UEQ_Stimulation 12",0.014698359567136835,0.006459188567115461,0.012882080351463009,0.9675298448528252,0.01496430208478558,0.006631685106797857,0.013139457018312758,NA,1.7008310832295166,0.7474295779206273,1.4906590479264281,111.95840097402599,1,1,1,109,1.7008310832295166,0.7474295779206273,1.4906590479264281,1.027141293339688,1.6558881375505476,0.7276794173958337,1.4512697109855648,NA,0.200885574014933,0.39550704053467056,0.23093351248537952,NA,3,109,0.2108932750992665,NA,0.8886685873510627,NA,"0.970620060722413","0.0136340777677102","Shapiro-Wilk normality test","anova_UEQ_Stimulation_res"
