"AV","call","est_intercept","est_Exp","est_HMI","est_Exp:HMI","stdErr_intercept","stdErr_Exp","stdErr_HMI","stdErr_Exp:HMI","z_intercept","z_Exp","z_HMI","z_Exp:HMI","p_intercept","p_Exp","p_HMI","p_Exp:HMI","Df_Exp","Df_HMI","Df_Exp:HMI","ChiSq_Exp","ChiSq_HMI","ChiSq_Exp:HMI","Df_ChiSq_Exp","Df_ChiSq_HMI","Df_ChiSq_Exp:HMI","p_ChiSq_Exp","p_ChiSq_HMI","p_ChiSq_Exp:HMI"
"TransProblems","afex::mixed, AV ~ Exp * HMI + (1 | VP), data_23, PB, binomial",-2.3785806158855234,-0.29508286953796514,0.06742716579595653,-0.19296771632792517,0.19948338482349337,0.15415485473465337,0.154337454571668,0.15399897242007185,-11.923702908841937,-1.914197707531761,0.43688141665344177,-1.2530454800799322,8.90603303765204e-33,0.05559489857632812,0.6621973496570173,0.21018915563783622,3.6984119830412965,0.19158024283206032,1.5742611707754577,1,1,1,0.054464280973747004,0.6616046367598376,0.20958926597094418,0.06174089068825911,0.676,0.226
"TransProblems","afex::mixed, AV ~ Exp * HMI + (1 | VP), data_23, PB, binomial",-2.377412824593394,0.3547224545496166,0.3406479356675719,-0.08907778309667769,0.20593040932848128,0.16529666582738872,0.16589950795763542,0.16521358793493982,-11.544738984134993,2.145974649724853,2.053339035547717,-0.5391674147997804,7.847934947949378e-31,0.031875001262564213,0.04003970748406954,0.5897713421886003,4.771499366394721,4.407201557810538,0.2932747717351276,1,1,1,0.028934615892927562,0.03578750362739991,0.5881295817589122,0.03610832497492478,0.035,0.619
