"variable","data","factor_1","factor_2","factor_3","est_1","est_2","est_3","sterr_1","sterr_2","sterr_3","z_1","z_2","z_3","p_1","p_2","p_3","aov_df_1","aov_df_2","aov_df_3","aov_ChiSq_1","aov_ChiSq_2","aov_ChiSq_3","aov_p_1","aov_p_2","aov_p_3"
"SUS_score","12","Exp.L","HMI.L","Exp.L:HMI.L","-0.0348040809459825","0.305910296934529","-0.387150268613041","0.232856188863429","0.236150495304249","0.330479591322407","-0.149465990643673","1.29540400302953","-1.17148011186975","0.881185943420919","0.195180897852904","0.24140584739733",1,1,1,0.49679001052323174,2.9433571769519156,1.3723656525063515,0.48091396956305926,0.08623133835843022,0.24140584739732973
"UMUX_score","12","Exp.L","HMI.L","Exp.L:HMI.L","0.324991768826393","0.743144338239548","-0.536797031584451","0.2353298487968","0.244085066628682","0.33209245408913","1.38100530165645","3.04461206293324","-1.61640839764574","0.167277330554742","0.00232980615366206","0.10600604393035",1,1,1,4.017582484797379,10.291871692000807,2.6127761079796583,0.045028213903481204,0.0013361748689551718,0.10600604393035024
"Trust","12","Exp.L","HMI.L","Exp.L:HMI.L","0.0990811466543049","0.131288690271504","-0.375786777158985","0.247697282570932","0.247902879013367","0.351351705763534","0.400009017563329","0.52959727936207","-1.06954590228145","0.689149874992706","0.596391181074778","0.284823756776209",1,1,1,0.9604016460519708,1.258679156127169,1.143928437087042,0.32708570410343873,0.2619012564508957,0.28482375677620936
"Acceptance","12","Exp.L","HMI.L","Exp.L:HMI.L","0.393440893237759","-0.0758001175029322","-0.520851931400084","0.248762118127126","0.247759772276633","0.352342084362519","1.58159488349708","-0.305941988912949","-1.47825637219137","0.113742082802837","0.759648815240552","0.139339170359566",1,1,1,4.120539635238197,0.6852554596126157,2.1852419019244036,0.04236556253350191,0.407782878472638,0.139339170359566
"UEQ_Attractiveness","12","Exp.L","HMI.L","Exp.L:HMI.L","0.44554644895824","0.0974417773590996","-0.438595998173847","0.235413110462101","0.233151581493951","0.330924750976033","1.89261527568987","0.417933160627639","-1.32536474494654","0.0584090508207577","0.675995986698588","0.1850502042663",1,1,1,4.8807616324309855,1.4638310975524726,1.7565917071472033,0.027157633356259345,0.22632153545236358,0.1850502042663
"UEQ_Perspicuity","12","Exp.L","HMI.L","Exp.L:HMI.L","0.0934105168725888","0.167953746217609","-0.125777541270369","0.233077483771566","0.234918346130716","0.329641160293514","0.400770230401742","0.714945209618297","-0.381558969026732","0.688589298501449","0.474642899759113","0.702788523526108",1,1,1,0.2727616306687763,0.5919212704220722,0.1455872468447427,0.6014852345432983,0.44167713558707733,0.7027885235261075
"UEQ_Efficiency","12","Exp.L","HMI.L","Exp.L:HMI.L","0.320482811062098","-0.0637508416129636","0.244561269614432","0.235723493977572","0.233280959515957","0.330887903981273","1.35957093480292","-0.273279232669664","0.739106104127254","0.173965741014468","0.784638577894395","0.459842570547179",1,1,1,0.18760044550600574,0.4665469986496235,0.546277833158167,0.6649212948438675,0.49458001439230315,0.4598425705471792
"UEQ_Dependability","12","Exp.L","HMI.L","Exp.L:HMI.L","0.0921346047865486","0.482624311238924","-0.263811272218402","0.23410748486621","0.237561463817265","0.331158601970512","0.393556852055382","2.03157660120399","-0.796631193176412","0.693908242502506","0.042196537482608","0.425665255726182",1,1,1,0.6427443200106056,3.945327414246331,0.6346212579416733,0.42271878280493824,0.04700170643509599,0.42566525572618197
"UEQ_Novelty","12","Exp.L","HMI.L","Exp.L:HMI.L","-0.0469639577081934","0.0257547453228458","-0.189006911516455","0.232593096802959","0.232613208490715","0.329132463552312","-0.201914667089105","0.110719186971164","-0.574257882302195","0.839983435555275","0.91183903052421","0.565793305606414",1,1,1,0.06443073917755095,0.22669092055662754,0.3297721153862017,0.799625266830264,0.6339883908737193,0.5657933056064137
"UEQ_Stimulation","12","Exp.L","HMI.L","Exp.L:HMI.L","0.340328884539934","0.239343181744405","-0.289206078508427","0.235545685908108","0.234442281470394","0.331034797636774","1.44485297290779","1.02090450682903","-0.87364253115697","0.148499187980952","0.307299683688604","0.382312956675917",1,1,1,2.5332048468866937,1.6592544365934572,0.7632512722463575,0.11147360098920492,0.19770401839654608,0.38231295667591675
