"variable","Exp","HMI","n","mean","sd","median","min","max","frequencies"
"TC07_ER",2,"LC",28,1.75,1.21,1,1,4,"1: 19, 4: 5, 2: 2, 3: 2"
"TC07_ER",3,"HC",21,1.29,0.64,1,1,3,"1: 17, 2: 2, 3: 2, 4: 0"
"TC07_ER",3,"LC",21,1.67,1.24,1,1,5,"1: 14, 2: 4, 5: 2, 3: 1"
"TC08_ER",1,"HC",26,1.19,0.49,1,1,3,"1: 22, 2: 3, 3: 1, 4: 0"
"TC08_ER",1,"LC",26,1.27,0.53,1,1,3,"1: 20, 2: 5, 3: 1, 4: 0"
"TC08_ER",2,"HC",33,1.21,0.7,1,1,4,"1: 30, 3: 2, 4: 1, 2: 0"
"TC08_ER",2,"LC",28,1.75,1.21,1,1,4,"1: 19, 4: 5, 2: 2, 3: 2"
"TC08_ER",3,"HC",21,1.19,0.51,1,1,3,"1: 18, 2: 2, 3: 1, 4: 0"
"TC08_ER",3,"LC",21,1.71,1.45,1,1,5,"1: 16, 5: 3, 2: 1, 3: 1"
"TC09_ER",1,"HC",26,1.35,0.69,1,1,4,"1: 19, 2: 6, 4: 1, 3: 0"
"TC09_ER",1,"LC",26,1.31,0.55,1,1,3,"1: 19, 2: 6, 3: 1, 4: 0"
"TC09_ER",2,"HC",33,1.27,0.72,1,1,4,"1: 28, 2: 2, 3: 2, 4: 1"
"TC09_ER",2,"LC",28,1.5,1.11,1,1,4,"1: 23, 4: 4, 3: 1, 2: 0"
"TC09_ER",3,"HC",21,1.29,0.64,1,1,3,"1: 17, 2: 2, 3: 2, 4: 0"
"TC09_ER",3,"LC",21,1.52,1.03,1,1,5,"1: 15, 2: 3, 3: 2, 5: 1"
"TC10_ER",1,"HC",26,2.77,1.03,2.5,1,5,"2: 12, 3: 7, 4: 4, 5: 2"
"TC10_ER",1,"LC",26,3.15,1.38,2.5,1,5,"2: 12, 5: 7, 4: 4, 3: 2"
"TC10_ER",2,"HC",33,2.12,0.86,2,1,4,"2: 15, 1: 8, 3: 8, 4: 2"
"TC10_ER",2,"LC",28,3.11,1.4,3,1,5,"2: 7, 4: 6, 5: 6, 3: 5"
"TC10_ER",3,"HC",21,2.24,1.55,2,1,5,"1: 10, 2: 4, 5: 4, 3: 3"
"TC10_ER",3,"LC",21,3.71,1.65,5,1,5,"5: 11, 1: 4, 4: 3, 2: 2"
