"Exp","HMI","variable","n","0","1","2","3","4","5"
2,"LC","Geschlecht",28,18,10,0,0,0,0
2,"LC","NationGeb",0,0,0,0,0,0,0
2,"LC","Sehhilfe",28,22,4,2,0,0,0
2,"LC","SehhilfeAuto",0,0,0,0,0,0,0
2,"LC","SehhilfeAutoJetzt",0,0,0,0,0,0,0
2,"LC","SehhilfeLesen",0,0,0,0,0,0,0
2,"LC","SehhilfeLesenJetzt",0,0,0,0,0,0,0
2,"LC","Farbfehlsichtigkeit",28,27,1,0,0,0,0
2,"LC","Wetter",28,3,11,10,4,0,0
2,"LC","Licht",28,7,16,5,0,0,0
2,"LC","Erfahrung",28,0,6,1,7,14,0
2,"LC","KilometerJahr",28,9,3,10,6,0,0
2,"LC","FAS.CC",28,3,25,0,0,0,0
2,"LC","FAS.ACC",28,19,9,0,0,0,0
2,"LC","FAS.LKA",28,13,15,0,0,0,0
2,"LC","FAS.NoFAS",28,25,3,0,0,0,0
2,"LC","OftCC",25,5,0,10,5,2,3
2,"LC","OftACC",9,1,0,4,1,1,2
2,"LC","OftLKA",15,6,0,5,1,1,2
2,"LC","TC01_ER",28,0,26,0,1,1,0
2,"LC","TC02_ER",28,0,17,1,5,3,2
2,"LC","TC03_ER",28,0,2,6,6,14,0
2,"LC","TC04_ER",28,0,14,3,0,11,0
2,"LC","TC05_ER",28,0,15,5,3,5,0
2,"LC","TC06_ER",28,0,17,1,4,5,1
2,"LC","TC07_ER",28,0,19,2,2,5,0
2,"LC","TC08_ER",28,0,19,2,2,5,0
2,"LC","TC09_ER",28,0,23,0,1,4,0
2,"LC","TC10_ER",28,0,4,7,5,6,6
2,"LC","TC11_ER",28,0,22,1,3,1,1
2,"LC","TC12_ER",28,0,5,10,4,5,4
2,"LC","Trust",28,0,3,4,4,9,8
2,"LC","Acceptance",28,0,1,3,3,5,16
3,"HC","Geschlecht",21,12,9,0,0,0,0
3,"HC","NationGeb",21,17,4,0,0,0,0
3,"HC","Sehhilfe",0,0,0,0,0,0,0
3,"HC","SehhilfeAuto",21,11,1,1,0,8,0
3,"HC","SehhilfeAutoJetzt",13,6,7,0,0,0,0
3,"HC","SehhilfeLesen",21,12,1,1,1,6,0
3,"HC","SehhilfeLesenJetzt",13,5,8,0,0,0,0
3,"HC","Farbfehlsichtigkeit",21,20,1,0,0,0,0
3,"HC","Wetter",21,4,7,10,0,0,0
3,"HC","Licht",21,9,11,1,0,0,0
3,"HC","Erfahrung",21,0,4,5,9,3,0
3,"HC","KilometerJahr",21,9,9,2,1,0,0
3,"HC","FAS.CC",21,2,19,0,0,0,0
3,"HC","FAS.ACC",21,14,7,0,0,0,0
3,"HC","FAS.LKA",21,13,8,0,0,0,0
3,"HC","FAS.NoFAS",21,19,2,0,0,0,0
3,"HC","OftCC",19,0,12,5,2,0,0
3,"HC","OftACC",7,0,4,2,0,0,1
3,"HC","OftLKA",8,0,4,1,0,2,1
3,"HC","TC01_ER",21,0,21,0,0,0,0
3,"HC","TC02_ER",21,0,14,3,4,0,0
3,"HC","TC03_ER",21,0,8,2,6,0,5
3,"HC","TC04_ER",21,0,14,2,2,0,3
3,"HC","TC05_ER",21,0,10,2,6,1,2
3,"HC","TC06_ER",21,0,12,4,2,0,3
3,"HC","TC07_ER",21,0,17,2,2,0,0
3,"HC","TC08_ER",21,0,18,2,1,0,0
3,"HC","TC09_ER",21,0,17,2,2,0,0
3,"HC","TC10_ER",21,0,10,4,3,0,4
3,"HC","TC11_ER",21,0,17,2,1,1,0
3,"HC","TC12_ER",21,0,15,2,2,1,1
3,"HC","Trust",21,0,0,2,4,10,5
3,"HC","Acceptance",21,0,0,1,2,8,10
3,"LC","Geschlecht",21,11,10,0,0,0,0
3,"LC","NationGeb",21,15,6,0,0,0,0
3,"LC","Sehhilfe",0,0,0,0,0,0,0
3,"LC","SehhilfeAuto",21,13,0,0,1,7,0
3,"LC","SehhilfeAutoJetzt",11,4,7,0,0,0,0
3,"LC","SehhilfeLesen",21,11,1,1,2,6,0
3,"LC","SehhilfeLesenJetzt",11,4,7,0,0,0,0
3,"LC","Farbfehlsichtigkeit",21,21,0,0,0,0,0
3,"LC","Wetter",21,3,8,8,2,0,0
3,"LC","Licht",21,7,11,3,0,0,0
3,"LC","Erfahrung",21,1,9,1,6,4,0
3,"LC","KilometerJahr",21,12,4,4,1,0,0
3,"LC","FAS.CC",21,0,21,0,0,0,0
3,"LC","FAS.ACC",21,13,8,0,0,0,0
3,"LC","FAS.LKA",21,9,12,0,0,0,0
3,"LC","FAS.NoFAS",21,20,1,0,0,0,0
3,"LC","OftCC",21,1,9,5,3,3,0
3,"LC","OftACC",8,1,4,2,1,0,0
3,"LC","OftLKA",12,1,8,2,1,0,0
3,"LC","TC01_ER",21,0,21,0,0,0,0
3,"LC","TC02_ER",21,0,15,4,2,0,0
3,"LC","TC03_ER",21,0,7,2,6,0,6
3,"LC","TC04_ER",21,0,12,5,1,1,2
3,"LC","TC05_ER",21,0,10,1,5,0,5
3,"LC","TC06_ER",21,0,11,6,0,2,2
3,"LC","TC07_ER",21,0,14,4,1,0,2
3,"LC","TC08_ER",21,0,16,1,1,0,3
3,"LC","TC09_ER",21,0,15,3,2,0,1
3,"LC","TC10_ER",21,0,4,2,1,3,11
3,"LC","TC11_ER",21,0,16,2,2,0,1
3,"LC","TC12_ER",21,0,10,1,2,2,6
3,"LC","Trust",21,0,1,3,6,4,7
3,"LC","Acceptance",21,0,1,2,4,4,10
1,NA,"Uebel",52,0,25,10,8,7,2
1,NA,"AnstrengendWenden",52,0,30,7,3,7,5
2,NA,"Uebel",61,0,60,1,0,0,0
2,NA,"AnstrengendWenden",61,0,54,6,0,1,0
3,NA,"Uebel",42,0,40,1,1,0,0
3,NA,"AnstrengendWenden",42,0,33,5,3,1,0
