"variable","Exp","HMI","n","n_notNA","mean","sd","median","min","max","frequencies"
"TC10_street_n_glances_after_start",2,"LC",28,24,1.96,1.65,1,0,6,"1: 9, 4: 5, 0: 4, 2: 3"
"TC10_street_n_glances_after_start",3,"HC",23,20,1.1,1.02,1,0,3,"0: 7, 1: 6, 2: 5, 3: 2"
"TC10_street_n_glances_after_start",3,"LC",19,16,1.19,1.05,1,0,3,"0: 5, 1: 5, 2: 4, 3: 2"
"TC10_surt_glance_at_start",1,"HC",26,22,0.86,0.35,1,0,1,"1: 19, 0: 3"
"TC10_surt_glance_at_start",1,"LC",26,25,0.96,0.2,1,0,1,"1: 24, 0: 1"
"TC10_surt_glance_at_start",2,"HC",33,31,0.84,0.37,1,0,1,"1: 26, 0: 5"
"TC10_surt_glance_at_start",2,"LC",28,24,0.83,0.38,1,0,1,"1: 20, 0: 4"
"TC10_surt_glance_at_start",3,"HC",23,20,0.75,0.44,1,0,1,"1: 15, 0: 5"
"TC10_surt_glance_at_start",3,"LC",19,16,0.88,0.34,1,0,1,"1: 14, 0: 2"
"TC10_surt_n_glances_after_start",1,"HC",26,22,1.41,1.01,1,0,5,"1: 15, 2: 4, 0: 1, 3: 1"
"TC10_surt_n_glances_after_start",1,"LC",26,25,1.68,1.22,1,1,5,"1: 18, 3: 3, 4: 2, 2: 1"
"TC10_surt_n_glances_after_start",2,"HC",33,31,1.26,1,1,0,5,"1: 20, 0: 4, 2: 4, 3: 2"
"TC10_surt_n_glances_after_start",2,"LC",28,24,2,1.56,1,0,5,"1: 11, 2: 4, 5: 3, 0: 2"
"TC10_surt_n_glances_after_start",3,"HC",23,20,1.15,0.99,1,0,3,"1: 10, 0: 5, 3: 3, 2: 2"
"TC10_surt_n_glances_after_start",3,"LC",19,16,1.75,0.93,2,0,4,"2: 8, 1: 5, 0: 1, 3: 1"
"TC10_wheel_glance_at_start",1,"HC",26,22,0,0,0,0,0,"0: 22"
"TC10_wheel_glance_at_start",1,"LC",26,25,0,0,0,0,0,"0: 25"
"TC10_wheel_glance_at_start",2,"HC",33,31,0,0,0,0,0,"0: 31"
"TC10_wheel_glance_at_start",2,"LC",28,24,0,0,0,0,0,"0: 24"
"TC10_wheel_glance_at_start",3,"HC",23,20,0,0,0,0,0,"0: 20"
"TC10_wheel_glance_at_start",3,"LC",19,16,0,0,0,0,0,"0: 16"
"TC10_wheel_n_glances_after_start",1,"HC",26,22,1.5,1.14,1.5,0,5,"2: 9, 1: 7, 0: 4, 3: 1"
"TC10_wheel_n_glances_after_start",1,"LC",26,25,0.56,0.65,0,0,2,"0: 13, 1: 10, 2: 2, 3: 0"
"TC10_wheel_n_glances_after_start",2,"HC",33,31,0.55,0.62,0,0,2,"0: 16, 1: 13, 2: 2, 3: 0"
"TC10_wheel_n_glances_after_start",2,"LC",28,24,0.33,0.56,0,0,2,"0: 17, 1: 6, 2: 1, 3: 0"
"TC10_wheel_n_glances_after_start",3,"HC",23,20,0.25,0.55,0,0,2,"0: 16, 1: 3, 2: 1, 3: 0"
"TC10_wheel_n_glances_after_start",3,"LC",19,16,0.12,0.34,0,0,1,"0: 14, 1: 2, 2: 0, 3: 0"
"TC12_valid",1,"HC",26,26,0.85,0.37,1,0,1,"1: 22, 0: 4"
"TC12_valid",1,"LC",26,26,0.96,0.2,1,0,1,"1: 25, 0: 1"
"TC12_valid",2,"HC",33,33,0.97,0.17,1,0,1,"1: 32, 0: 1"
"TC12_valid",2,"LC",28,28,0.89,0.31,1,0,1,"1: 25, 0: 3"
"TC12_valid",3,"HC",23,21,0.95,0.22,1,0,1,"1: 20, 0: 1"
"TC12_valid",3,"LC",19,19,0.84,0.37,1,0,1,"1: 16, 0: 3"
"TC12_lvl_notification",1,"HC",26,22,3,0,3,3,3,"3: 22"
"TC12_lvl_notification",1,"LC",26,25,3,0,3,3,3,"3: 25"
"TC12_lvl_notification",2,"HC",33,32,3,0,3,3,3,"3: 32"
"TC12_lvl_notification",2,"LC",28,25,3,0,3,3,3,"3: 25"
"TC12_lvl_notification",3,"HC",23,20,3,0,3,3,3,"3: 20"
"TC12_lvl_notification",3,"LC",19,16,3,0,3,3,3,"3: 16"
"TC12_lvl_end",1,"HC",26,22,0,0,0,0,0,"0: 22, 3: 0"
"TC12_lvl_end",1,"LC",26,25,0,0,0,0,0,"0: 25, 3: 0"
"TC12_lvl_end",2,"HC",33,32,0,0,0,0,0,"0: 32, 3: 0"
"TC12_lvl_end",2,"LC",28,25,0.36,0.99,0,0,3,"0: 22, 3: 3"
"TC12_lvl_end",3,"HC",23,20,0.15,0.67,0,0,3,"0: 19, 3: 1"
