"startdate","Exp","HMI","VPCode","VPNr"
"2020-10-27 13:29:39",2,"HC","An_Be_16",35
"2020-10-27 15:38:30",2,"LC","Ma_He_06",77
"2020-10-29 08:32:04",2,"LC","He_Le_31",78
"2020-10-29 10:36:49",2,"LC","Li_Ad_16",79
"2020-10-29 13:03:59",2,"HC","Ge_Ge_24",36
"2020-10-29 15:35:42",2,"HC","Ka_Th_22",37
"2020-10-30 08:37:14",2,"LC","Ly_As_02",80
"2020-10-30 10:41:21",2,"HC","L_He_06",38
"2020-10-30 13:09:38",2,"LC","Ge_Ge_23",81
"2020-10-30 15:46:27",2,"LC","Mi_Ha_04",82
"2021-07-07 07:16:46",3,"HC","LI_JO_9",1
"2021-07-07 08:58:50",3,"LC","LO_BI_6",51
"2021-07-07 12:11:58",3,"HC","KA_JO_2",2
"2021-07-07 13:46:12",3,"LC","MI_KH_3",52
"2021-07-08 07:09:27",3,"LC","GE_RO_16",53
"2021-07-08 11:51:58",3,"LC","HE_JE_2",54
"2021-07-08 09:43:02",3,"HC","LI_HE_12",3
"2021-07-08 14:04:28",3,"HC","EL_JO_4",4
"2021-07-16 13:55:02",3,"HC","MO_JO_11",5
"2021-07-27 07:09:00",3,"HC","SH_DA_8",8
"2021-08-02 07:06:06",3,"LC","MA_AL_7",64
"2021-07-16 09:28:34",3,"LC","SU_KI_1",55
"2021-07-22 08:05:22",3,"HC","TH_TU_1",6
"2021-07-27 14:00:49",3,"HC","EL_TE_7",9
"2021-07-28 07:08:25",3,"HC","RO_HE_7",10
"2021-07-27 11:35:07",3,"LC","VI_ST_12",58
"2021-07-22 10:05:47",3,"LC","UU_LK_12",56
"2021-07-22 14:16:39",3,"LC","RU_RO_2",57
"2021-07-22 12:10:35",3,"HC","JU_RU_8",7
"2021-07-28 11:39:05",3,"HC","BR_RO_4",11
"2021-07-30 07:13:33",3,"LC","CO_MA_12",62
"2021-07-29 07:21:21",3,"HC","RU_LE_6",12
"2021-07-29 09:25:24",3,"HC","EM_DA_10",13
"2021-07-30 12:00:16",3,"LC","PA_RI_12",63
