"comparison","AV","call","est_intercept","est_Exp","est_HMI","est_Exp:HMI","stdErr_intercept","stdErr_Exp","stdErr_HMI","stdErr_Exp:HMI","z_intercept","z_Exp","z_HMI","z_Exp:HMI","p_intercept","p_Exp","p_HMI","p_Exp:HMI","Df_Exp","Df_HMI","Df_Exp:HMI","ChiSq_Exp","ChiSq_HMI","ChiSq_Exp:HMI","Df_ChiSq_Exp","Df_ChiSq_HMI","Df_ChiSq_Exp:HMI","p_ChiSq_Exp","p_ChiSq_HMI","p_ChiSq_Exp:HMI"
"12","LevelObserved_Rep","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",3.897139161140377,0.3997131051977333,0.47758350014945294,-0.2801311305916302,0.4069145050461369,0.22602331909381898,0.2282301322086914,0.22649572090996012,9.577292312788188,1.7684595854988672,2.0925523528714223,-1.2368053995289032,9.962239019012309e-22,0.07698410283621554,0.03638913369788164,0.21615933701812498,5,5,5,3.00076940141912,4.424113954810878,1.5261972036820453,1,1,1,0.08322498461468829,0.03543450606349846,0.21668407509347146
"12","EmailsAllow_Observed","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",-1.2211923494721153,-0.2884305579754539,-0.04979386505689597,0.13563144300587823,0.7219477122627933,0.11271442400950146,0.11150509467227085,0.1116926450885509,-1.6915246474631032,-2.5589498461274145,-0.4465613450510682,1.2143274330941707,0.09073664443684056,0.010498888704943674,0.6551918106693952,0.22462271391919852,5,5,5,6.017627658162269,0.1865114370715446,1.3714683677004587,1,1,1,0.014163673405641947,0.6658361185223656,0.24155975797928708
"12","HandsOffAllow_Observed","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",-0.9468024118737668,-0.48276829729539283,-0.0562031232797069,0.07694154889877296,0.7113938586300543,0.11214145113123596,0.10909206874278617,0.10912459120751788,-1.33091170297287,-4.304994205313277,-0.5151898201895946,0.7050798362438424,0.18321806601164112,1.6699010658287147e-5,0.6064203818844145,0.4807605540193233,5,5,5,16.82659502685408,0.25071753367740257,0.4694557497517735,1,1,1,4.0955304650733565e-5,0.6165702925341785,0.49323765569352096
"12","LevelObserved_Instr","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",3.2084566253339664,0.3295523613846367,0.5449909846751895,-0.26934640762149087,0.3940843417690342,0.16663357446961247,0.16832013739493898,0.16663423549020648,8.141548103462547,1.9777068482962559,3.23782402456366,-1.61639297488373,3.902554309666692e-16,0.04796178725222495,0.00120445077970234,0.10600937627957623,5,5,5,3.8127073275098837,10.506438302367087,2.6030120938766004,1,1,1,0.05086517199846942,0.0011895932723534753,0.10666082698473171
"12","AvailImplem_Rep","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, binomial",2.213726808853964,0.2828056853512586,0.1408413434763337,-0.14051474445154166,0.44495726181059453,0.10619662794744565,0.10598715050702183,0.10598161273988176,4.975144803449199,2.6630382792494394,1.328853005317873,-1.3258407833103751,6.51988834014357e-7,0.007743860431491201,0.18389647077145876,0.18489244097431967,5,5,5,6.769391594330955,1.710002814372956,1.7014509612802158,1,1,1,0.009273444294982091,0.19098500534963683,0.19209833230031767
"12","AvailReasonCorrect","afex::mixed, AV ~ Exp * HMI + (1 | VP), data_23, LRT, binomial",0.9565858215230539,0.32735222334203273,-0.10920919705349068,-0.3225701328669084,0.24884314815345074,0.23129733112854453,0.23017837350824139,0.2313568051350594,3.844131649279606,1.4152875078359866,-0.4744546387611889,-1.3942539216799839,1.2098005078390257e-4,0.15698421618114636,0.6351757378838452,0.1632409400857473,4,4,4,2.014258311519143,0.22516122445574638,1.9556010396316879,1,1,1,0.15582740139370105,0.6351351535575639,0.16198456173614206
"12","TransProblems","afex::mixed, AV ~ Exp * HMI + (1 | VP), data_23, LRT, binomial",-2.3785806158855234,-0.29508286953796514,0.06742716579595653,-0.19296771632792517,0.19948338482349337,0.15415485473465337,0.154337454571668,0.15399897242007185,-11.923702908841937,-1.914197707531761,0.43688141665344177,-1.2530454800799322,8.90603303765204e-33,0.05559489857632812,0.6621973496570173,0.21018915563783622,4,4,4,3.6984119830412965,0.19158024283206032,1.5742611707754577,1,1,1,0.054464280973746976,0.6616046367598375,0.20958926597094416
"12","ER_score","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, gaussian(link = log)",0.5143064460823037,0.03186504094989064,-0.09297754864435388,0.0615006718837276,0.0904295840218864,0.026948262875283145,0.026946149883568506,0.026934048548053844,5.687369367505082,1.182452505282526,-3.4504947477135004,2.2833801525976463,1.2901121939418548e-8,0.23702620024361595,5.595600553839378e-4,0.022407985333435236,6,6,6,1.3834796614855804,11.264810516578564,5.059225606523796,1,1,1,0.23950932254504734,7.899024293059818e-4,0.024495180892109825
"12","AttentionRatio_surt","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, gaussian(link = identity)",89.97553565752378,1.1109278462319458,1.4555282916396644,0.13767819382666271,7.117885870017464,0.9758395612712853,0.9758401331914444,0.9758430397831579,12.640766837316967,1.1384328841768547,1.4915642861289378,0.141086412685032,1.2582081288323103e-36,0.2549397692665285,0.13581340658231938,0.8878016773874675,6,6,6,1.2878872129658703,2.2008344890773515,0.019904091435364535,1,1,1,0.2564376757521612,0.13793604735928988,0.8878052733317298
"12","GlanceAllocationTime_ic","afex::mixed, AV ~ Exp * HMI + (1 | TC) + (1 | VP), data_23, LRT, gaussian(link = identity)",2.118242670708433,-0.16492105625619585,0.019580895324289516,0.11027927778357136,0.9639148430322952,0.2373108617396484,0.23765381638908978,0.23744608655638497,2.1975412932171885,-0.6949578921386634,0.08239251370670787,0.4644392307446346,0.027981810741710352,0.48708169050627753,0.9343345890070723,0.6423330884904426,6,6,6,0.48134757441403053,0.006789743832314343,0.21520261617706637,1,1,1,0.48781255404796875,0.9343287140624429,0.6427198514052822
