"variable","Exp","HMI","n","mean","sd","median","min","max","frequencies"
"Wetter",3,"LC",21,NA,NA,NA,NA,NA,"1: 8, 2: 8, 0: 3, 3: 2"
"Licht",1,"HC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0"
"Licht",1,"LC",0,NA,NA,NA,NA,NA,"0: 0, 1: 0, 2: 0"
"Licht",2,"HC",33,NA,NA,NA,NA,NA,"1: 24, 0: 7, 2: 2"
"Licht",2,"LC",28,NA,NA,NA,NA,NA,"1: 16, 0: 7, 2: 5"
"Licht",3,"HC",21,NA,NA,NA,NA,NA,"1: 11, 0: 9, 2: 1"
"Licht",3,"LC",21,NA,NA,NA,NA,NA,"1: 11, 0: 7, 2: 3"
"Erfahrung",1,"HC",26,3.42,0.95,4,1,4,"4: 17, 3: 5, 1: 2, 2: 2"
"Erfahrung",1,"LC",26,3.12,0.86,3,1,4,"3: 10, 4: 10, 2: 5, 1: 1"
"Erfahrung",2,"HC",33,2.82,1.04,3,0,4,"3: 11, 4: 10, 2: 9, 1: 2"
"Erfahrung",2,"LC",28,3.04,1.2,3.5,1,4,"4: 14, 3: 7, 1: 6, 2: 1"
"Erfahrung",3,"HC",21,2.52,0.98,3,1,4,"3: 9, 2: 5, 1: 4, 4: 3"
"Erfahrung",3,"LC",21,2.14,1.31,2,0,4,"1: 9, 3: 6, 4: 4, 0: 1"
"KilometerJahr",1,"HC",26,1.54,0.99,1.5,0,3,"1: 9, 2: 8, 3: 5, 0: 4"
"KilometerJahr",1,"LC",26,1.23,0.82,1,0,3,"1: 11, 2: 9, 0: 5, 3: 1"
"KilometerJahr",2,"HC",33,1.36,1.06,1,0,3,"1: 11, 0: 8, 2: 8, 3: 6"
"KilometerJahr",2,"LC",28,1.46,1.17,2,0,3,"2: 10, 0: 9, 3: 6, 1: 3"
"KilometerJahr",3,"HC",21,0.76,0.83,1,0,3,"0: 9, 1: 9, 2: 2, 3: 1"
"KilometerJahr",3,"LC",21,0.71,0.96,0,0,3,"0: 12, 1: 4, 2: 4, 3: 1"
"FAS.CC",1,"HC",26,0.77,0.43,1,0,1,"1: 20, 0: 6"
"FAS.CC",1,"LC",26,0.69,0.47,1,0,1,"1: 18, 0: 8"
"FAS.CC",2,"HC",33,0.79,0.42,1,0,1,"1: 26, 0: 7"
"FAS.CC",2,"LC",28,0.89,0.31,1,0,1,"1: 25, 0: 3"
"FAS.CC",3,"HC",21,0.9,0.3,1,0,1,"1: 19, 0: 2"
"FAS.CC",3,"LC",21,1,0,1,1,1,"1: 21, 0: 0"
"FAS.ACC",1,"HC",26,0.35,0.49,0,0,1,"0: 17, 1: 9"
"FAS.ACC",1,"LC",26,0.23,0.43,0,0,1,"0: 20, 1: 6"
"FAS.ACC",2,"HC",33,0.45,0.51,0,0,1,"0: 18, 1: 15"
"FAS.ACC",2,"LC",28,0.32,0.48,0,0,1,"0: 19, 1: 9"
"FAS.ACC",3,"HC",21,0.33,0.48,0,0,1,"0: 14, 1: 7"
"FAS.ACC",3,"LC",21,0.38,0.5,0,0,1,"0: 13, 1: 8"
"FAS.LKA",1,"HC",26,0.58,0.5,1,0,1,"1: 15, 0: 11"
"FAS.LKA",1,"LC",26,0.38,0.5,0,0,1,"0: 16, 1: 10"
"FAS.LKA",2,"HC",33,0.52,0.51,1,0,1,"1: 17, 0: 16"
"FAS.LKA",2,"LC",28,0.54,0.51,1,0,1,"1: 15, 0: 13"
"FAS.LKA",3,"HC",21,0.38,0.5,0,0,1,"0: 13, 1: 8"
"FAS.LKA",3,"LC",21,0.57,0.51,1,0,1,"1: 12, 0: 9"
"FAS.NoFAS",1,"HC",26,0.19,0.4,0,0,1,"0: 21, 1: 5"
"FAS.NoFAS",1,"LC",26,0.31,0.47,0,0,1,"0: 18, 1: 8"
"FAS.NoFAS",2,"HC",33,0.18,0.39,0,0,1,"0: 27, 1: 6"
"FAS.NoFAS",2,"LC",28,0.11,0.31,0,0,1,"0: 25, 1: 3"
"FAS.NoFAS",3,"HC",21,0.1,0.3,0,0,1,"0: 19, 1: 2"
"FAS.NoFAS",3,"LC",21,0.05,0.22,0,0,1,"0: 20, 1: 1"
"OftCC",1,"HC",20,2.6,1.82,3,0,5,"0: 5, 4: 5, 2: 4, 3: 3"
"OftCC",1,"LC",18,2.56,1.34,2.5,0,5,"2: 7, 3: 6, 0: 2, 5: 2"
"OftCC",2,"HC",26,2.04,1.31,2,0,5,"2: 14, 0: 5, 3: 5, 5: 2"
"OftCC",2,"LC",25,2.32,1.55,2,0,5,"2: 10, 0: 5, 3: 5, 5: 3"
"OftCC",3,"HC",19,1.47,0.7,1,1,3,"1: 12, 2: 5, 3: 2, 0: 0"
"OftCC",3,"LC",21,1.9,1.18,2,0,4,"1: 9, 2: 5, 3: 3, 4: 3"
"OftACC",1,"HC",9,2.56,1.24,3,0,4,"2: 3, 3: 3, 4: 2, 0: 1"
"OftACC",1,"LC",6,2,1.1,2,0,3,"2: 3, 3: 2, 0: 1, 1: 0"
"OftACC",2,"HC",15,1,1.46,0,0,5,"0: 9, 2: 5, 5: 1, 1: 0"
"OftACC",2,"LC",9,2.78,1.64,2,0,5,"2: 4, 5: 2, 0: 1, 3: 1"
"OftACC",3,"HC",7,1.86,1.46,1,1,5,"1: 4, 2: 2, 5: 1, 0: 0"
"OftACC",3,"LC",8,1.38,0.92,1,0,3,"1: 4, 2: 2, 0: 1, 3: 1"
"OftLKA",1,"HC",15,2.27,1.79,3,0,4,"4: 6, 0: 5, 2: 2, 3: 2"
"OftLKA",1,"LC",10,1.7,1.64,2,0,4,"0: 4, 2: 3, 4: 2, 3: 1"
"OftLKA",2,"HC",17,1.18,1.42,0,0,4,"0: 9, 2: 6, 4: 2, 1: 0"
"OftLKA",2,"LC",15,1.8,1.82,2,0,5,"0: 6, 2: 5, 5: 2, 3: 1"
"OftLKA",3,"HC",8,2.38,1.69,1.5,1,5,"1: 4, 4: 2, 2: 1, 5: 1"
"OftLKA",3,"LC",12,1.25,0.75,1,0,3,"1: 8, 2: 2, 0: 1, 3: 1"
"Alter",1,"HC",25,41.92,16.9,43,19,71,NA
"Alter",1,"LC",26,38,17.52,29,18,73,NA
"Alter",2,"HC",33,37.55,14.88,30,22,69,NA
"Alter",2,"LC",28,37.43,15.12,32.5,20,65,NA
"Alter",3,"HC",21,38.43,9.7,38,21,60,NA
"Alter",3,"LC",21,37.86,10.14,37,20,59,NA
