"Exp","AnstrengendWenden_mean","Uebel_mean","AnstrengendWenden_sd","Uebel_sd","AnstrengendWenden_min","Uebel_min","AnstrengendWenden_max","Uebel_max","AnstrengendWenden_median","Uebel_median"
"1",2.0384615384615383,2.0576923076923075,1.4411533842457842,1.2432320550423264,1,1,5,5,1,2
"2",1.1475409836065573,1.0163934426229508,0.4773561065483675,0.12803687993289598,1,1,4,2,1,1
"3",1.3333333333333333,1.0714285714285714,0.7213357077339458,0.3416500236732879,1,1,4,3,1,1
