"Exp","HMI","LevelObserved_Rep_score_mean","LevelObserved_Instr_score_mean","HandsOffAllow_Observed_score_mean","EmailsAllow_Observed_score_mean","BothAllow_Observed_score_mean","TransProblems_score_mean","AvailImplem_Rep_score_mean","AvailReasonCorrect_score_mean","LevelObserved_Rep_score_sd","LevelObserved_Instr_score_sd","HandsOffAllow_Observed_score_sd","EmailsAllow_Observed_score_sd","BothAllow_Observed_score_sd","TransProblems_score_sd","AvailImplem_Rep_score_sd","AvailReasonCorrect_score_sd","LevelObserved_Rep_score_min","LevelObserved_Instr_score_min","HandsOffAllow_Observed_score_min","EmailsAllow_Observed_score_min","BothAllow_Observed_score_min","TransProblems_score_min","AvailImplem_Rep_score_min","AvailReasonCorrect_score_min","LevelObserved_Rep_score_max","LevelObserved_Instr_score_max","HandsOffAllow_Observed_score_max","EmailsAllow_Observed_score_max","BothAllow_Observed_score_max","TransProblems_score_max","AvailImplem_Rep_score_max","AvailReasonCorrect_score_max","LevelObserved_Rep_score_median","LevelObserved_Instr_score_median","HandsOffAllow_Observed_score_median","EmailsAllow_Observed_score_median","BothAllow_Observed_score_median","TransProblems_score_median","AvailImplem_Rep_score_median","AvailReasonCorrect_score_median"
"1","HC",11.538461538461538,11.26923076923077,11.846153846153847,11.846153846153847,23.692307692307693,0.4230769230769231,10.192307692307692,1.8846153846153846,0.7060180864974626,0.7243033788512826,0.36794648440311994,0.36794648440311994,0.7358929688062399,0.5777942140988899,1.296741478297992,1.1773503497913635,10,9,11,11,22,0,7,0,12,12,12,12,24,2,12,3,12,11,12,12,24,0,10,2
"1","LC",11.384615384615385,10.923076923076923,11.615384615384615,11.653846153846153,23.26923076923077,0.5384615384615384,10.192307692307692,2.269230769230769,0.8521466107154603,1.1635489477654792,0.5710988059467872,0.5615911461059686,1.115623316633076,0.8593378488473195,1.296741478297992,0.827414880586145,9,6,10,10,20,0,7,0,12,12,12,12,24,3,12,3,12,11,12,12,24,0,10.5,2
"2","HC",11.333333333333334,11.151515151515152,10.848484848484848,11.424242424242424,22.272727272727273,0.9696969696969697,9.818181818181818,1.878787878787879,1.2665570127975554,1.1214168527250505,1.8728523053288952,1.0905933886623096,2.764424977196063,0.9837698055454996,1.5502932273957373,1.1661254155743648,7,8,4,8,13,0,7,0,12,12,12,12,24,3,12,3,12,12,12,12,24,1,10,2
"2","LC",10.142857142857142,9.607142857142858,10.214285714285714,10.5,20.714285714285715,0.6428571428571429,8.964285714285714,1.6785714285714286,2.460266256507627,2.528933104196836,1.8329725474726455,1.9531550923607717,3.5679347990341315,0.9511897312113419,2.0454492009977745,1.2187902754164621,4,3,7,5,13,0,6,0,12,12,12,12,24,3,12,3,11.5,10,10.5,11.5,21.5,0,9,1.5
"3","HC",11.380952380952381,10.857142857142858,10.952380952380953,11.428571428571429,22.38095238095238,0.6190476190476191,10.238095238095237,1.2380952380952381,1.3592715135759477,1.1526367287968176,1.3219754338182867,0.8106434833777776,1.8835124230062958,0.6690433824641326,1.3380867649282653,0.6248809410409238,6,9,8,9,18,0,7,0,12,12,12,12,24,2,12,2,12,11,11,12,22,1,10,1
"3","LC",10.428571428571429,9.666666666666666,10.285714285714286,10.19047619047619,20.476190476190474,0.2857142857142857,8.571428571428571,0.7142857142857143,2.8208408067707147,2.972092416687835,2.1712405933672376,2.7132830228165954,4.2144874850810465,0.560611910581388,2.0389072703639215,1.0071175275436894,1,3,4,2,9,0,6,0,12,12,12,12,24,2,12,3,12,11,11,12,22,0,9,0
