"Exp","HMI","VPNr","TC10_Aut_Lvl_Sta","TC10_Aut_Lvl_End","TC10_Aut_Lvl_Notification","TC10_TimeToFirstAction","TC10_TimeToL0","TC10_Action_1","TC10_Action_2","TC10_Action_3","TC10_Action_4","TC10_Action_5","TC10_Action_6","TC10_Action_7","TC10_TimeToAction_1","TC10_TimeToAction_2","TC10_TimeToAction_3","TC10_TimeToAction_4","TC10_TimeToAction_5","TC10_TimeToAction_6","TC10_TimeToAction_7","TC12_Aut_Lvl_Sta","TC12_Aut_Lvl_End","TC12_Aut_Lvl_Notification","TC12_TimeToFirstAction","TC12_TimeToL0","TC12_Action_1","TC12_Action_2","TC12_Action_3","TC12_Action_4","TC12_TimeToAction_1","TC12_TimeToAction_2","TC12_TimeToAction_3","TC12_TimeToAction_4"
1,"HC",26,3,0,3,16.6166658000001,16.6833333000001,1,NA,NA,NA,NA,NA,NA,16.6166658000001,NA,NA,NA,NA,NA,NA,3,0,3,6.19999759999989,6.24999959999998,1,NA,NA,NA,6.19999759999989,NA,NA,NA
1,"LC",51,3,0,3,4.85000509999995,4.91666760000004,1,NA,NA,NA,NA,NA,NA,4.85000509999995,NA,NA,NA,NA,NA,NA,3,0,3,8.24999660000019,8.29999470000016,3,NA,NA,NA,8.24999660000019,NA,NA,NA
1,"LC",52,3,0,3,7.85000459999964,13.3166691999999,2,2,2,1,NA,NA,NA,7.85000459999964,12.0000118,12.6500030999999,13.2666662999997,NA,NA,NA,3,0,3,6.01666650000028,6.06666820000019,1,NA,NA,NA,6.01666650000028,NA,NA,NA
1,"LC",53,3,0,3,6.49999809999997,6.55000050000008,3,NA,NA,NA,NA,NA,NA,6.49999809999997,NA,NA,NA,NA,NA,NA,3,0,3,4.51666889999993,4.56666940000001,3,1,1,NA,4.51666889999993,5.11666909999982,6.06666849999991,NA
1,"LC",54,3,0,3,9.43333110000007,9.48333339999989,1,NA,NA,NA,NA,NA,NA,9.43333110000007,NA,NA,NA,NA,NA,NA,3,0,3,7.93333290000004,7.98333329999982,3,NA,NA,NA,7.93333290000004,NA,NA,NA
1,"LC",55,3,0,3,22.7500006000001,22.8166669000001,3,NA,NA,NA,NA,NA,NA,22.7500006000001,NA,NA,NA,NA,NA,NA,3,0,3,7.75000029999996,7.80000139999995,3,NA,NA,NA,7.75000029999996,NA,NA,NA
1,"LC",56,3,0,3,26.8999942999999,26.9499941999998,3,NA,NA,NA,NA,NA,NA,26.8999942999999,NA,NA,NA,NA,NA,NA,3,0,3,12.0999974999996,12.1499986999999,3,NA,NA,NA,12.0999974999996,NA,NA,NA
1,"LC",57,3,0,3,26.3833332,26.433335,3,NA,NA,NA,NA,NA,NA,26.3833332,NA,NA,NA,NA,NA,NA,3,0,3,6.09999989999994,7.93332780000009,2,2,3,NA,6.09999989999994,6.55001099999994,7.86666100000008,NA
1,"LC",58,3,0,3,22.6000003,22.6666669999999,3,NA,NA,NA,NA,NA,NA,22.6000003,NA,NA,NA,NA,NA,NA,3,0,3,3.21666760000028,3.25000080000004,1,NA,NA,NA,3.21666760000028,NA,NA,NA
1,"LC",59,3,0,3,15.1666686999998,15.2166679,1,NA,NA,NA,NA,NA,NA,15.1666686999998,NA,NA,NA,NA,NA,NA,3,0,3,9.29999990000017,9.34999770000018,3,NA,NA,NA,9.29999990000017,NA,NA,NA
